id,city,airplanCode1,airplanCode2,id2,alt,lng,stateCode,country
100,Antwerp,anr,,17,51.2211,4.3997,,Belgium
101,Aberdeen,abz,,188,57.15,-2.11,,United Kingdom
102,Augsburg,agb,,65,48.3717,10.8983,,Germany
103,Alexandroupolis,axd,,67,40.85,25.8667,,Greece
104,Athens,ath,,67,37.9794,23.7161,,Greece
105,Alicante,alc,,166,38.3453,-0.4831,,Spain
106,Almeria,lei,,166,36.8414197,-2.4628135,,Spain
107,Aalborg,aal,,47,57.0337,9.9166,,Denmark
108,Aarhus,aar,,47,56.1572,10.2107,,Denmark
109,Ancona,aoi,,84,43.6167,13.5167,,Italy
111,Amsterdam,ams,,124,52.35,4.9166,,Netherlands
112,Alanya,gzp,,182,36.5436,31.9997,,Turkey
113,Ankara,esb,,182,39.93,32.85,,Turkey
114,Antalya,ayt,,182,36.9081,30.6956,,Turkey
115,Altenrhein,ach,,171,47.4903839,9.5540541,,Switzerland
116,Brussels,brus,"bru,crl",17,50.8467,4.3517,,Belgium
117,Burgas,boj,,26,42.5,27.4667,,Bulgaria
118,Banja Luka,bnx,,22,44.7667,17.1833,,Bosnia and Herzegovina
119,Belfast,belf,"bfs,bhd",188,54.5964,-5.93,,United Kingdom
120,Birmingham,bhx,,188,52.48,-1.9025,,United Kingdom
121,Bournemouth,boh,,188,50.72,-1.88,,United Kingdom
122,Bristol,brs,,188,51.45,-2.5833,,United Kingdom
123,Budapest,bud,,76,47.4983,19.0408,,Hungary
124,Berlin,ber,,65,52.5167,13.3833,,Germany
126,Bremen,bre,,65,53.1153,8.7975,,Germany
127,Billund,bll,,47,55.7309428,9.1159357,,Denmark
128,Barcelona,bcn,,166,41.3825,2.1769,,Spain
129,Bilbao,bio,,166,43.2622,-2.9533,,Spain
130,Bologna,blq,,84,44.4939,11.3428,,Italy
131,Bergen,bgo,,131,60.3925,5.3233,,Norway
132,Bodo,boo,,131,67.2827,14.3751,,Norway
134,Bucharest,otp,,144,44.4,26.0833,,Romania
135,Belgrade,beli,"beg,bjy",155,44.8167,20.4667,,Serbia
136,Bratislava,bts,,159,48.1447,17.1128,,Slovakia
137,Bordeaux,bod,,61,44.84,-0.58,,France
139,Brno,brq,,45,49.1953,16.6083,,Czech Republic
140,Basel,bsl,,171,47.5606,7.5906,,Switzerland
141,Bern,brn,,171,46.948,7.4474,,Switzerland
142,Cardiff,cwl,,188,51.4816546,-3.1791934,,United Kingdom
145,Cologne,cgn,,65,50.9422,6.9578,,Germany
146,Corfu,cfu,,67,39.591337,19.8596189,,Greece
147,Copenhagen,cope,"cph,rke",47,55.6786,12.5635,,Denmark
150,Cork,ork,,82,51.9,-8.4731,,Ireland
151,Cagliari,cag,,84,39.2224,9.104,,Italy
152,Catania,cta,,84,37.5027,15.0873,,Italy
153,Cluj-Napoca,clj,,144,46.78,23.5594,,Romania
154,Clermont-Ferrand,cfe,,61,45.7831,3.0824,,France
155,Chambery-Savoie,cmf,,61,45.57,5.9118,,France
156,Cherbourg,cfr,,61,49.6504,-1.65,,France
158,Doncaster,dsa,,188,53.515,-1.133,,United Kingdom
159,Dortmund,dtm,,65,51.5139,7.4653,,Germany
160,Dresden,drs,,65,51.0493,13.7384,,Germany
161,Duesseldorf,duss,"dus,nrn,mgl",65,51.2254018,6.7763137,,Germany
162,Dublin,dub,,82,53.3425,-6.2658,,Ireland
163,Dalaman,dlm,,182,36.8125748,28.8831401,,Turkey
164,Dubrovnik,dbv,,42,42.6403,18.1083,,Croatia
165,East Midlands,ema,,188,52.7965611,-0.6717948,,United Kingdom
166,Edinburgh,edi,,188,55.953,-3.189,,United Kingdom
167,Exeter,ext,,188,50.7167,-3.5333,,United Kingdom
169,Esbjerg,ebj,,47,55.467,8.45,,Denmark
171,Eilat,etm,"etm,vda",83,29.5569348,34.9497949,,Israel
172,Eindhoven,ein,,124,51.43,5.5,,Netherlands
174,Frankfurt,fran,"fra,hhn",65,50.1136,8.6797,,Germany
175,Friedrichshafen,fdh,,65,47.6542,9.4792,,Germany
176,Fuerteventura,fue,,166,28.4003769,-14.0048697,,Spain
177,Florence,flr,,84,43.7714,11.2542,,Italy
178,Floro,fro,,131,61.5986,5.0172,,Norway
179,Faro,fao,,142,37.0167,-7.9333,,Portugal
180,Funchal,fnc,,142,32.65,-16.9167,,Portugal
181,Graz,grz,,10,47.0667,15.4333,,Austria
183,Guernsey,gci,,188,57.1669969,-7.374733,,United Kingdom
184,Glasgow,glas,"gla,pik",188,55.8609,-4.2514,,United Kingdom
185,Gloucestershire,glo,,188,51.7643786,-2.1880662,,United Kingdom
186,Granada,grx,,166,37.1781,-3.6008,,Spain
187,Girona,gro,,166,41.9833,2.8167,,Spain
189,Genoa,goa,,84,44.4072,8.934,,Italy
190,Groningen,grq,,124,53.2204,6.58,,Netherlands
191,Gdansk,gdn,,141,54.3667,18.6333,,Poland
192,Geneva,gva,,171,46.2,6.15,,Switzerland
193,Gothenburg,goth,"got,gse",170,57.6717,11.981,,Sweden
194,Humberside,huy,,188,53.5713963,-0.3534607,,United Kingdom
196,Hamburg,hamb,"ham,lbc",65,53.55,10,,Germany
197,Hannover,haj,,65,52.3744,9.7386,,Germany
200,Heraklion,her,,67,35.3400127,25.1343475,,Greece
201,Helsinki,hel,,60,60.1756,24.9342,,Finland
202,Innsbruck,inn,,10,47.2683,11.3933,,Austria
203,Inverness,inv,,188,57.4781,-4.2233,,United Kingdom
204,Debrecen,deb,,76,47.53,21.6392,,Hungary
205,Ibiza,ibz,,166,38.9089,1.4328,,Spain
206,Izmir,izmi,"adb,igl",182,38.4147331,27.1434119,,Turkey
207,Istanbul,ista,"ist,saw",182,41.01,28.9603,,Turkey
208,Jonkoping,jkg,,170,57.7825634,14.165719,,Sweden
209,Klagenfurt,klu,,10,46.6167,14.3,,Austria
210,Karlsruhe Baden-Baden,fkb,,65,49.0167,8.4,,Germany
211,Kortrijk,kjk,,17,50.8276429,3.2659884,,Belgium
212,Kaunas,kun,,101,54.9,23.9333,,Lithuania
