"(387, 'Moscow')","(388, 'Saint Petersburg')"
"(388, 'Saint Petersburg')","(387, 'Moscow')"
"(100, 'Antwerp')","(102, 'Augsburg')"
"(100, 'Antwerp')","(104, 'Athens')"
"(100, 'Antwerp')","(106, 'Almeria')"
"(100, 'Antwerp')","(108, 'Aarhus')"
"(100, 'Antwerp')","(111, 'Amsterdam')"
"(100, 'Antwerp')","(113, 'Ankara')"
"(100, 'Antwerp')","(115, 'Altenrhein')"
"(100, 'Antwerp')","(117, 'Burgas')"
"(100, 'Antwerp')","(119, 'Belfast')"
"(100, 'Antwerp')","(121, 'Bournemouth')"
"(100, 'Antwerp')","(123, 'Budapest')"
"(100, 'Antwerp')","(126, 'Bremen')"
"(100, 'Antwerp')","(128, 'Barcelona')"
"(100, 'Antwerp')","(130, 'Bologna')"
"(100, 'Antwerp')","(132, 'Bodo')"
"(100, 'Antwerp')","(135, 'Belgrade')"
"(100, 'Antwerp')","(137, 'Bordeaux')"
"(100, 'Antwerp')","(140, 'Basel')"
"(100, 'Antwerp')","(142, 'Cardiff')"
"(100, 'Antwerp')","(146, 'Corfu')"
"(100, 'Antwerp')","(150, 'Cork')"
"(100, 'Antwerp')","(152, 'Catania')"
"(100, 'Antwerp')","(154, 'Clermont-Ferrand')"
"(100, 'Antwerp')","(156, 'Cherbourg')"
"(100, 'Antwerp')","(159, 'Dortmund')"
"(100, 'Antwerp')","(161, 'Duesseldorf')"
"(100, 'Antwerp')","(163, 'Dalaman')"
"(100, 'Antwerp')","(165, 'East Midlands')"
"(100, 'Antwerp')","(167, 'Exeter')"
"(100, 'Antwerp')","(171, 'Eilat')"
"(100, 'Antwerp')","(174, 'Frankfurt')"
"(100, 'Antwerp')","(176, 'Fuerteventura')"
"(100, 'Antwerp')","(178, 'Floro')"
"(100, 'Antwerp')","(180, 'Funchal')"
"(100, 'Antwerp')","(183, 'Guernsey')"
"(100, 'Antwerp')","(185, 'Gloucestershire')"
"(100, 'Antwerp')","(187, 'Girona')"
"(100, 'Antwerp')","(190, 'Groningen')"
"(100, 'Antwerp')","(192, 'Geneva')"
"(100, 'Antwerp')","(194, 'Humberside')"
"(100, 'Antwerp')","(197, 'Hannover')"
"(100, 'Antwerp')","(201, 'Helsinki')"
"(100, 'Antwerp')","(203, 'Inverness')"
"(100, 'Antwerp')","(205, 'Ibiza')"
"(100, 'Antwerp')","(207, 'Istanbul')"
"(100, 'Antwerp')","(209, 'Klagenfurt')"
"(100, 'Antwerp')","(211, 'Kortrijk')"
"(100, 'Antwerp')","(213, 'Katowice')"
"(100, 'Antwerp')","(215, 'Kosice')"
"(100, 'Antwerp')","(217, 'Karlstad')"
"(100, 'Antwerp')","(219, 'Linz')"
"(100, 'Antwerp')","(221, ""Land's End"")"
"(100, 'Antwerp')","(224, 'Leeds')"
"(100, 'Antwerp')","(227, 'Lanzarote')"
"(100, 'Antwerp')","(230, 'Lamezia Terme')"
"(100, 'Antwerp')","(232, 'Liepaja')"
"(100, 'Antwerp')","(235, 'Lisbon')"
"(100, 'Antwerp')","(237, 'Lappeenranta')"
"(100, 'Antwerp')","(240, 'Lyon')"
"(100, 'Antwerp')","(242, 'Lulea')"
"(100, 'Antwerp')","(244, 'Mannheim')"
"(100, 'Antwerp')","(246, 'Muenster')"
"(100, 'Antwerp')","(248, 'Madrid')"
"(100, 'Antwerp')","(250, 'Mahon')"
