from,to,transportation_type_id,transportation_type,price_unit,unit,price_euro,duration_minutes
9,11,1,flight,500,USD,429.0,485.0
9,11, ,car,600,USD,514.8,5156.2
9,12,1,flight,240,USD,205.92,895.0
9,12, ,car,0,,0,4389.0
9,13,1,flight,390,USD,334.62,475.0
9,15,1,flight,270,USD,231.66,610.0
9,16,1,flight,4000,CNY,537.17,990.0
9,16, ,car,2000,CNY,268.59,3013.2
9,17,1,flight,340,USD,291.72,450.0
9,17, ,car,95,USD,81.51,2419.7
9,18,1,flight,571,USD,489.92,400.0
9,18, ,car,260,USD,223.08,2639.3
9,19,1,flight,200,USD,171.6,95.0
9,20,1,flight,220,USD,188.76,1430.0
9,21,1,flight,80,USD,68.64,60.0
9,21, ,car,0,,0,375.7
9,22,1,flight,230,USD,197.34,420.0
9,23,1,flight,650,USD,557.7,540.0
9,23, ,car,0,,0,3228.7
9,24,1,flight,65000,LKR,-1,675.0
9,24,1,flight,65000,LKR,-1,675.0
9,25,1,flight,110,USD,94.38,70.0
9,25, ,car,30,USD,25.74,536.4
9,26,1,flight,350,USD,300.3,520.0
9,27,1,flight,360,USD,308.88,990.0
9,28,1,flight,360,USD,308.88,990.0
9,29,1,flight,95,USD,81.51,120.0
9,29, ,car,0,,0,1341.3
9,30,1,flight,470,USD,403.26,615.0
9,31,1,flight,490,USD,420.42,525.0
9,31,1,flight,490,USD,420.42,525.0
9,34,1,flight,330,USD,283.14,510.0
9,35,1,flight,390,USD,334.62,480.0
9,36,1,flight,650,USD,557.7,1395.0
9,37,1,flight,500,USD,429.0,1145.0
9,38,1,flight,550,USD,471.9,1171.0
9,38,1,flight,500,USD,429.0,1123.0
9,38,1,flight,550,USD,471.9,1171.0
9,38,1,flight,500,USD,429.0,1123.0
9,39,1,flight,600,USD,514.8,1215.0
9,39,1,flight,500,EUR,500.0,1215.0
9,39,1,flight,600,USD,514.8,1215.0
9,39,1,flight,500,EUR,500.0,1215.0
9,39,1,flight,600,USD,514.8,1215.0
9,39,1,flight,500,EUR,500.0,1215.0
9,39,1,flight,600,USD,514.8,1215.0
9,39,1,flight,500,EUR,500.0,1215.0
9,40,1,flight,470,USD,403.26,1125.0
9,40,1,flight,470,USD,403.26,1125.0
9,40,1,flight,470,USD,403.26,1125.0
9,41,1,flight,500,USD,429.0,1035.0
9,44,1,flight,1500,SAR,-1,500.0
9,45,1,flight,1300,SAR,-1,465.0
9,47,1,flight,11000,MXN,464.13,1180.0
9,48,1,flight,50000,JPY,375.6,540.0
9,53,1,flight,9000000,IDR,548.03,870.0
9,55,1,flight,22000,INR,251.43,370.0
9,55, ,car,28000,INR,320.0,2968.6
9,56,1,flight,13000,INR,148.57,315.0
9,57,1,flight,6000,INR,68.57,430.0
9,58,1,flight,470,USD,403.26,660.0
9,60,1,flight,3900,CNY,523.74,815.0
9,60, ,car,3500,CNY,470.03,3912.7
9,61,1,flight,4000,CNY,537.17,835.0
9,61, ,car,3100,CNY,416.31,3635.0
9,62,1,flight,650,CAD,451.73,1145.0
9,62,1,flight,650,CAD,451.73,1145.0
9,62,1,flight,650,CAD,451.73,1145.0
9,63,1,flight,650,CAD,451.73,968.0
9,63,1,flight,600,CAD,416.99,1189.0
9,63,1,flight,650,CAD,451.73,968.0
9,63,1,flight,600,CAD,416.99,1189.0
9,63,1,flight,650,CAD,451.73,968.0
9,63,1,flight,600,CAD,416.99,1189.0
9,64,1,flight,3000,BRL,462.92,1360.0
9,64,1,flight,2700,BRL,416.63,1295.0
9,64,1,flight,3000,BRL,462.92,1360.0
9,64,1,flight,2700,BRL,416.63,1295.0
9,65,1,flight,85000,ARS,-1,1450.0
9,65,1,flight,75000,ARS,-1,1815.0
9,65,1,flight,85000,ARS,-1,1450.0
9,65,1,flight,75000,ARS,-1,1815.0
9,66,1,flight,22000,INR,251.43,465.0
9,67,1,flight,14000,THB,360.07,555.0
9,68,1,flight,800000,KRW,582.68,980.0
9,69,1,flight,600,AED,-1,565.0
9,69,1,flight,600,AED,-1,565.0
9,70,1,flight,900,NZD,552.35,1370.0
9,71,1,flight,26000,PHP,439.51,700.0
9,72,1,flight,1100,AUD,705.08,1420.0
9,73,1,flight,1200,AUD,769.18,1560.0
9,73,1,flight,1300,AUD,833.28,2000.0
9,73,1,flight,900,AUD,576.89,1650.0
9,73,1,flight,1200,AUD,769.18,1560.0
9,73,1,flight,1300,AUD,833.28,2000.0
9,73,1,flight,900,AUD,576.89,1650.0
9,73,1,flight,1200,AUD,769.18,1560.0
9,73,1,flight,1300,AUD,833.28,2000.0
9,73,1,flight,900,AUD,576.89,1650.0
9,74,1,flight,2900,MAD,-1,685.0
9,74, ,car,8500,MAD,-1,8646.0
9,75,1,flight,1300,MYR,267.39,780.0
9,75, ,car,1500,MYR,308.52,5785.8
9,76,1,flight,7000000,IDR,426.25,655.0
9,76,1,flight,10000000,IDR,608.93,2105.0
9,76,1,flight,7000000,IDR,426.25,655.0
9,76,1,flight,10000000,IDR,608.93,2105.0
9,77,1,flight,420,USD,360.36,695.0
9,77, ,car,440,USD,377.52,3890.8
9,78,1,flight,360,USD,308.88,525.0
9,79,1,flight,1900,MYR,390.79,825.0
9,79, ,car,1700,MYR,349.66,6172.2
9,80,1,flight,8000000,IDR,487.14,805.0
9,81,1,flight,500,USD,429.0,515.0
9,81, ,car,550,USD,471.9,5209.5
9,82,1,flight,5500,CNY,738.61,585.0
9,82, ,car,3300,CNY,443.17,3688.8
9,82,1,flight,6000,CNY,805.76,710.0
9,82, ,car,3200,CNY,429.74,3650.3
9,82,1,flight,5500,CNY,738.61,585.0
9,82, ,car,3300,CNY,443.17,3688.8
9,82,1,flight,6000,CNY,805.76,710.0
9,82, ,car,3200,CNY,429.74,3650.3
9,83,1,flight,430000,KRW,313.19,370.0
9,83, ,car,850000,KRW,619.1,3877.1
9,83,1,flight,750000,KRW,546.27,935.0
9,83, ,car,800000,KRW,582.68,3842.0
9,83,1,flight,430000,KRW,313.19,370.0
9,83, ,car,850000,KRW,619.1,3877.1
9,83,1,flight,750000,KRW,546.27,935.0
9,83, ,car,800000,KRW,582.68,3842.0
9,84,1,flight,1200,SAR,-1,500.0
9,85,1,flight,4900,CNY,658.04,730.0
9,85, ,car,3400,CNY,456.6,3809.7
9,86,1,flight,1200,SAR,-1,460.0
9,87,1,flight,450,USD,386.1,600.0
9,87,1,flight,650,USD,557.7,770.0
9,87,1,flight,450,USD,386.1,600.0
9,87,1,flight,650,USD,557.7,770.0
9,88,1,flight,16000,THB,411.51,670.0
9,88, ,car,21000,THB,540.11,4926.5
9,89,1,flight,60000,JPY,450.72,590.0
9,89,1,flight,65000,JPY,488.28,760.0
9,89,1,flight,60000,JPY,450.72,590.0
9,89,1,flight,65000,JPY,488.28,760.0
9,90,1,flight,13000,THB,334.35,505.0
9,91,1,flight,17000,INR,194.29,365.0
9,92,1,flight,4100,CNY,550.6,670.0
9,92, ,car,3400,CNY,456.6,3875.9
9,93,1,flight,13000,INR,148.57,180.0
9,94,1,flight,2000,MYR,411.36,635.0
9,94, ,car,1600,MYR,329.09,6011.1
9,94,1,flight,2100,MYR,431.93,870.0
