,path_id,path_name,from_node,to_node,from_id,to_id,transport,from_airport,to_airport,from_airport_id,to_airport_id,price,currency,price_local,currency_local,distance_km,duration_min
0,0,Fly Berlin Brandenburg to Montevideo,S+U Alexanderplatz Bhf,Flughafen BER - Terminal 1-2,124,124,train,,,,,3,USD,2,EUR,27,30
1,0,Fly Berlin Brandenburg to Montevideo,Berlin Brandenburg,Montevideo,-1,-1,flight,BER,MVD,124,-1,600,USD,,,,1025
2,0,Fly Berlin Brandenburg to Montevideo,Aeropuerto,Montevideo,-1,-1,bus,,,,,1,USD,65,UYU,21,30
3,1,"Train to Leipzig, fly to Montevideo",Berlin Hauptbahnhof,Leipzig Hbf,124,-1,train,,,,,35,USD,35,EUR,167,76
4,1,"Train to Leipzig, fly to Montevideo",Leipzig Hbf,Leipzig/Halle Flughafen,-1,-1,train,,,,,4,USD,4,EUR,18,11
5,1,"Train to Leipzig, fly to Montevideo",Leipzig,Montevideo,-1,-1,flight,LEJ,MVD,-1,-1,650,USD,,,,1135
6,1,"Train to Leipzig, fly to Montevideo",Aeropuerto,Montevideo,-1,-1,bus,,,,,1,USD,65,UYU,21,30
7,2,"Train to Hamburg, fly to Montevideo",Berlin Hauptbahnhof,Hamburg Hbf,124,196,train,,,,,55,USD,50,EUR,284,106
8,2,"Train to Hamburg, fly to Montevideo",Hamburg Hbf,Hamburg Airport,196,196,train,,,,,,,,,13,25
9,2,"Train to Hamburg, fly to Montevideo",Hamburg,Montevideo,-1,-1,flight,HAM,MVD,196,-1,650,USD,,,,1135
10,2,"Train to Hamburg, fly to Montevideo",Aeropuerto,Montevideo,-1,-1,bus,,,,,1,USD,65,UYU,21,30
11,3,"Fly Berlin Brandenburg to Ezeiza, car ferry",S+U Alexanderplatz Bhf,Flughafen BER - Terminal 1-2,124,124,train,,,,,3,USD,2,EUR,27,30
12,3,"Fly Berlin Brandenburg to Ezeiza, car ferry",Berlin Brandenburg,Ezeiza,-1,-1,flight,BER,EZE,124,65,500,USD,,,,1005
13,3,"Fly Berlin Brandenburg to Ezeiza, car ferry",Ezeiza Airport,Terminal Madero,-1,65,shuttle,,,,,6,USD,1200,ARS,33,50
14,3,"Fly Berlin Brandenburg to Ezeiza, car ferry",Puerto Madero,Puerto Montevideo,65,-1,carferry,,,,,120,USD,21000,ARS,201,165
15,4,"Train, train to Prague, fly to Montevideo",Berlin Hauptbahnhof,Decin hl.n.,124,-1,train,,,,,50,USD,45,EUR,242,161
16,4,"Train, train to Prague, fly to Montevideo",Decin hl.n.,Praha hl.n.,-1,297,train,,,,,45,USD,40,CHF,126,93
17,4,"Train, train to Prague, fly to Montevideo",Hlavní nádraží,Terminál 1,297,297,bus,,,,,1,USD,21,CZK,17,30
18,4,"Train, train to Prague, fly to Montevideo",Prague,Montevideo,-1,-1,flight,PRG,MVD,297,-1,600,USD,,,,1130
19,4,"Train, train to Prague, fly to Montevideo",Aeropuerto,Montevideo,-1,-1,bus,,,,,1,USD,65,UYU,21,30
20,5,"Train to Leipzig, fly to Ezeiza, car ferry",Berlin Hauptbahnhof,Leipzig Hbf,124,-1,train,,,,,35,USD,35,EUR,167,76
21,5,"Train to Leipzig, fly to Ezeiza, car ferry",Leipzig Hbf,Leipzig/Halle Flughafen,-1,-1,train,,,,,4,USD,4,EUR,18,11
22,5,"Train to Leipzig, fly to Ezeiza, car ferry",Leipzig,Ezeiza,-1,-1,flight,LEJ,EZE,-1,65,800,USD,,,,1030
23,5,"Train to Leipzig, fly to Ezeiza, car ferry",Ezeiza Airport,Terminal Madero,-1,65,shuttle,,,,,6,USD,1200,ARS,33,50
24,5,"Train to Leipzig, fly to Ezeiza, car ferry",Puerto Madero,Puerto Montevideo,65,-1,carferry,,,,,120,USD,21000,ARS,201,165
25,6,"Train to Dresden, fly to Ezeiza, car ferry",Berlin Hauptbahnhof,Dresden Bahnhof Neustadt,124,160,train,,,,,12,USD,11,EUR,196,121
26,6,"Train to Dresden, fly to Ezeiza, car ferry",Dresden Bahnhof Neustadt,Dresden Flughafen,160,160,train,,,,,2,USD,2,EUR,10,14
27,6,"Train to Dresden, fly to Ezeiza, car ferry",Dresden,Ezeiza,-1,-1,flight,DRS,EZE,160,65,750,USD,,,,1030
28,6,"Train to Dresden, fly to Ezeiza, car ferry",Ezeiza Airport,Terminal Madero,-1,65,shuttle,,,,,6,USD,1200,ARS,33,50
29,6,"Train to Dresden, fly to Ezeiza, car ferry",Puerto Madero,Puerto Montevideo,65,-1,carferry,,,,,120,USD,21000,ARS,201,165
