,from,from_bb_id,to,to_bb_id,transport,from_airport,from_airport_id,to_airport,to_airport_id,price,distance,duration,path_num,path_name
0,Edmonton Downtown Office,-1,Edmonton Airport,-1,bus,,,,,97.03,30.52773,1680,0,Fly Edmonton to Wroclaw
1,Edmonton,-1,Wroclaw,-1,flight,YEG,-1,WRO,-1,6426.43,,53400,0,Fly Edmonton to Wroclaw
2,Port Lotniczy,-1,pl. Orląt Lwowskich,-1,bus,,,,,,13.87085,1860,0,Fly Edmonton to Wroclaw
3,Edmonton Downtown Office,-1,Edmonton Airport,-1,bus,,,,,97.03,30.52773,1680,1,"Fly Edmonton to Poznan, train"
4,Edmonton,-1,Poznan,-1,flight,YEG,-1,POZ,-1,1752.87,,43800,1,"Fly Edmonton to Poznan, train"
5,Port Lotniczy Ławica,-1,Poznań Główny,-1,bus,,,,,2.8,9.452915,1380,1,"Fly Edmonton to Poznan, train"
6,Poznan Glowny,-1,Wroclaw Glowny,-1,train,,,,,20.43,164.0079,6300,1,"Fly Edmonton to Poznan, train"
7,Edmonton Downtown Office,-1,Edmonton Airport,-1,bus,,,,,97.03,30.52773,1680,2,"Fly Edmonton to Berlin Brandenburg, bus"
8,Edmonton,-1,Berlin Brandenburg,-1,flight,YEG,-1,BER,-1,1582.15,,40800,2,"Fly Edmonton to Berlin Brandenburg, bus"
9,Berlin Airport BER,-1,"Wrocław, Dworzec Autobusowy",-1,bus,,,,,81.17,321.5615,13800,2,"Fly Edmonton to Berlin Brandenburg, bus"
10,Edmonton Downtown - Holiday Inn Express Plaza,-1,Calgary International Airport,-1,bus,,,,,177.05,287.2333,12300,3,"Bus to Calgary, fly to Wroclaw"
11,Calgary,-1,Wroclaw,-1,flight,YYC,-1,WRO,-1,1460.29,,41700,3,"Bus to Calgary, fly to Wroclaw"
12,Port Lotniczy,-1,pl. Orląt Lwowskich,-1,bus,,,,,,13.87085,1860,3,"Bus to Calgary, fly to Wroclaw"
13,Edmonton Downtown Office,-1,Edmonton Airport,-1,bus,,,,,97.03,30.52773,1680,4,"Fly Edmonton to Katowice, train"
14,Edmonton,-1,Katowice,-1,flight,YEG,-1,KTW,-1,1599.02,,49500,4,"Fly Edmonton to Katowice, train"
15,Katowice Airport,-1,Katowice Dworzec PKP,-1,bus,,,,,,35.33142,2880,4,"Fly Edmonton to Katowice, train"
16,Katowice,-1,Wroclaw Glowny,-1,train,,,,,43.01,178.223,7380,4,"Fly Edmonton to Katowice, train"
17,Edmonton Downtown Office,-1,Edmonton Airport,-1,bus,,,,,97.03,30.52773,1680,5,"Fly Edmonton to Dresden, train"
18,Edmonton,-1,Dresden,-1,flight,YEG,-1,DRS,-1,2330.46,,41700,5,"Fly Edmonton to Dresden, train"
19,Dresden Flughafen,-1,Dresden Bahnhof Klotzsche,-1,train,,,,,7.92,3.636708,300,5,"Fly Edmonton to Dresden, train"
20,Dresden Bahnhof Klotzsche,-1,Zgorzelec,-1,train,,,,,,96.56624,4380,5,"Fly Edmonton to Dresden, train"
21,Zgorzelec,-1,Wroclaw Glowny,-1,train,,,,,42.3,161.8928,7620,5,"Fly Edmonton to Dresden, train"
22,Edmonton Downtown Office,-1,Edmonton Airport,-1,bus,,,,,97.03,30.52773,1680,6,"Fly Edmonton to Prague, train"
23,Edmonton,-1,Prague,-1,flight,YEG,-1,PRG,-1,1618.74,,40500,6,"Fly Edmonton to Prague, train"
24,Terminál 1,-1,Nádraží Veleslavín,-1,bus,,,,,3.85,12.21381,1020,6,"Fly Edmonton to Prague, train"
25,Nádraží Veleslavín,-1,Muzeum - A,-1,subway,,,,,4.65,7.019861,720,6,"Fly Edmonton to Prague, train"
26,Praha Hlavni Nadrazi,-1,Usti Nad Orlici,-1,train,,,,,21.84,152.5027,5700,6,"Fly Edmonton to Prague, train"
27,Usti Nad Orlici,-1,Lichkov,-1,train,,,,,6.09,33.93269,2760,6,"Fly Edmonton to Prague, train"
28,Lichkov,-1,Wroclaw Glowny,-1,train,,,,,19.92,138.0675,8160,6,"Fly Edmonton to Prague, train"
