,path_id,path_name,from_node,to_node,from_id,to_id,transport,transport_id,from_airport,to_airport,from_airport_id,to_airport_id,price_EUR,price_local,currency_local,distance_km,duration_min
0,0,Train,London St Pancras Intl,Paris Nord,225,293,train,1,,,,,111,110,EUR,450,141
1,0,Train,Gare du Nord,Gare de Lyon,293,293,train,1,,,,,1,1,EUR,5,7
2,0,Train,Paris Gare De Lyon,Basel Sbb,293,140,train,1,,,,,81,80,EUR,521,186
3,1,Bus,London Victoria Green Line Station,Luxembourg P+R Bouillon,225,233,bus,2,,,,,23,23,EUR,833,630
4,1,Bus,"Luxembourg, P+R Bouillon",Basel SBB,233,140,bus,2,,,,,19,19,EUR,370,280
5,2,Bus via Reims,London Victoria Green Line Station,Reims Central Train Station,225,-1,bus,2,,,,,19,35,BGN,648,900
6,2,Bus via Reims,Reims Central Train Station,Basel Meret-Oppenheim-Strasse,-1,140,bus,2,,,,,15,30,BGN,501,375
7,3,"Drive, Eurotunnel",London,Folkestone,225,-1,car,3,,,,,20,,,107,82
8,3,"Drive, Eurotunnel",Calais-Fréthun,Basel,-1,140,car,3,,,,,131,,,730,410
9,4,"Drive, car ferry",London,Dover,225,-1,car,3,,,,,23,,,125,94
10,4,"Drive, car ferry",Dunkirk,Basel,-1,140,car,3,,,,,131,,,726,416
11,5,Fly London Heathrow to Basel,London Paddington,Heathrow Terminals 2 & 3,225,-1,train,1,,,,,5,4,GBP,23,14
12,5,Fly London Heathrow to Basel,London Heathrow,Basel,-1,-1,flight,0,LHR,BSL,225,140,35,,,,95
13,5,Fly London Heathrow to Basel,Basel EuroAirport,"Basel, Kannenfeldplatz",-1,140,bus,2,,,,,3,,,6,9
14,6,"Train to London Gatwick, fly to Basel",London Victoria,Gatwick Airport,225,-1,train,1,,,,,10,9,GBP,42,33
15,6,"Train to London Gatwick, fly to Basel",London Gatwick,Basel,-1,-1,flight,0,LGW,BSL,225,140,30,,,,95
16,6,"Train to London Gatwick, fly to Basel",Basel EuroAirport,"Basel, Kannenfeldplatz",-1,140,bus,2,,,,,3,,,6,9
17,7,"Fly London City to Zurich, train",Bank DLR Station,London City Airport DLR Station,225,-1,train,1,,,,,1,1,GBP,9,21
18,7,"Fly London City to Zurich, train",London City,Zurich,-1,-1,flight,0,LCY,ZRH,225,370,81,,,,90
19,7,"Fly London City to Zurich, train",Zürich Flughafen,Zürich HB,-1,370,train,1,,,,,3,,,10,12
20,7,"Fly London City to Zurich, train",Zuerich Hb,Basel Sbb,370,140,train,1,,,,,23,23,EUR,87,54
21,8,"Fly London Heathrow to Zurich, train",London Paddington,Heathrow Terminals 2 & 3,225,-1,train,1,,,,,5,4,GBP,23,14
22,8,"Fly London Heathrow to Zurich, train",London Heathrow,Zurich,-1,-1,flight,0,LHR,ZRH,225,370,50,,,,100
23,8,"Fly London Heathrow to Zurich, train",Zürich Flughafen,Zürich HB,-1,370,train,1,,,,,3,,,10,12
24,8,"Fly London Heathrow to Zurich, train",Zuerich Hb,Basel Sbb,370,140,train,1,,,,,23,23,EUR,87,54
25,9,"Train to London Gatwick, fly to Zurich, train",London Victoria,Gatwick Airport,225,-1,train,1,,,,,10,9,GBP,42,33
26,9,"Train to London Gatwick, fly to Zurich, train",London Gatwick,Zurich,-1,-1,flight,0,LGW,ZRH,225,370,50,,,,105
27,9,"Train to London Gatwick, fly to Zurich, train",Zürich Flughafen,Zürich HB,-1,370,train,1,,,,,3,,,10,12
28,9,"Train to London Gatwick, fly to Zurich, train",Zuerich Hb,Basel Sbb,370,140,train,1,,,,,23,23,EUR,87,54
