,path_id,path_name,from_node,to_node,from_id,to_id,transport,transport_id,from_airport,to_airport,from_airport_id,to_airport_id,price_EUR,price_local,currency_local,distance_km,duration_min
0,0,"Fly from Moscow Sheremetyevo, train",Okhotny Ryad,Sheremetyevo Airport,-1,-1,bus,2,,,-1,-1,1,55,RUB,41,43
1,0,"Fly from Moscow Sheremetyevo, train",Moscow Sheremetyevo,Oslo,-1,-1,flight,1,SVO,OSL,-1,277,58,,,,385
2,0,"Fly from Moscow Sheremetyevo, train",Oslo lufthavn stasjon,Oslo S,-1,277,train,3,,,-1,-1,15,,,47,22
3,1,"Fly from Moscow Vnukovo, train",Kievsky Rail Terminal,Moscow Vnukovo Airport,-1,-1,train,3,,,-1,-1,6,450,RUB,33,37
4,1,"Fly from Moscow Vnukovo, train",Moscow Vnukovo,Oslo,-1,-1,flight,1,VKO,OSL,-1,277,106,,,,485
5,1,"Fly from Moscow Vnukovo, train",Oslo lufthavn stasjon,Oslo S,-1,277,train,3,,,-1,-1,15,,,47,22
6,2,"Fly from Moscow Domodedovo, train",Paveletsky Rail Terminal,Moscow Domodedovo Airport,-1,-1,train,3,,,-1,-1,1,100,RUB,46,48
7,2,"Fly from Moscow Domodedovo, train",Moscow Domodedovo,Oslo,-1,-1,flight,1,DME,OSL,-1,277,58,,,,535
8,2,"Fly from Moscow Domodedovo, train",Oslo lufthavn stasjon,Oslo S,-1,277,train,3,,,-1,-1,15,,,47,22
9,3,"Train, car ferry via Saint Petersburg",Moskva Kurskaia,St Petersburg Glavny,-1,-1,train,3,,,-1,-1,21,1600,RUB,643,252
10,3,"Train, car ferry via Saint Petersburg",St Petersburg Glavny,Saint-Peterburg Moskovsky Station,-1,-1,walk,6,,,-1,-1,,,,0,5
11,3,"Train, car ferry via Saint Petersburg",Saint-Peterburg Moskovsky Station,Tallinn,-1,345,train,3,,,-1,345,20,1600,RUB,370,315
12,3,"Train, car ferry via Saint Petersburg",Tallinn,Tallinn,345,345,walk,6,,,345,345,,,,2,28
13,3,"Train, car ferry via Saint Petersburg",Tallinn,Stockholm,345,329,carferry,10,,,345,329,82,85,EUR,458,1035
14,3,"Train, car ferry via Saint Petersburg",Stockholm,Stockholm Liljevalc Gröna Lund,329,329,walk,6,,,329,-1,,,,1,14
15,3,"Train, car ferry via Saint Petersburg",T-Centralen Spårv,Stockholm Centralstation,329,329,walk,6,,,-1,-1,,,,0,5
16,3,"Train, car ferry via Saint Petersburg",Stockholm Centralstation,Oslo S,329,277,train,3,,,-1,-1,46,500,SEK,553,312
17,4,"Train, car ferry","Moscow, Leningradsky Station",Tallinn,-1,345,train,3,,,-1,345,26,26,EUR,1011,900
18,4,"Train, car ferry",Tallinn,Tallinn,345,345,walk,6,,,345,345,,,,2,28
19,4,"Train, car ferry",Tallinn,Stockholm,345,329,carferry,10,,,345,329,85,84,EUR,1081,1050
20,4,"Train, car ferry",Stockholm Frihamnen,Stockholm Citytermin Kungsbron,329,329,bus,2,,,-1,-1,3,32,SEK,8,20
21,4,"Train, car ferry",Stockholm Citytermin Kungsbron,Stockholm Centralstation,329,329,walk,6,,,-1,-1,,,,0,6
22,4,"Train, car ferry",Stockholm Centralstation,Oslo S,329,277,train,3,,,-1,-1,46,500,SEK,553,312
23,5,Bus,Novoyasenevskaya,Moscow Novoyasnevskaya,-1,-1,walk,6,,,-1,-1,,,,1,9
24,5,Bus,Moscow Novoyasnevskaya,Mogilev Bus station,-1,-1,bus,2,,,-1,-1,21,55,BYN,588,530
25,5,Bus,Mogilev Bus station,Warsaw Zachodni Bus Station,-1,364,bus,2,,,-1,-1,25,65,BYN,760,731
26,5,Bus,Warszawa,Oslo,364,277,bus,2,,,-1,277,58,270,PLN,1825,1665
27,6,"Night train, bus",Moskva Belorusskaia,Minsk Pas,-1,-1,nighttrain,3,,,-1,-1,72,70,EUR,744,555
28,6,"Night train, bus",Minsk Pas,Minsk Central bus station,-1,-1,walk,6,,,-1,-1,,,,0,5
29,6,"Night train, bus",Minsk Central bus station,Vilnius Central Bus Station,-1,356,bus,2,,,-1,-1,9,9,EUR,189,295
30,6,"Night train, bus",Vilnius Central Bus Station,Suwalki Dworzec Autobusowy,356,-1,bus,2,,,-1,-1,11,10,EUR,227,180
31,6,"Night train, bus",Suwałki,Oslo,-1,277,bus,2,,,-1,277,62,300,PLN,2008,2070
32,7,Drive,Moscow,Oslo,-1,277,car,4,,,387,277,624,,,3153,1900
