,path_id,path_name,from_node,to_node,from_id,to_id,transport,transport_id,from_airport,to_airport,from_airport_id,to_airport_id,price_EUR,price_local,currency_local,distance_km,duration_min
0,0,"Train to Oslo, fly to Pulkovo",Oslo S,Oslo lufthavn stasjon,277,-1,train,3,,,-1,-1,10,160,NOK,47,22
1,0,"Train to Oslo, fly to Pulkovo",Oslo,Pulkovo,-1,-1,flight,1,OSL,LED,277,-1,47,,,,395
2,0,"Train to Oslo, fly to Pulkovo",Pulkovo (LED),"Аэропорт ""Пулково 1""",-1,-1,walk,6,,,-1,-1,,,,1,9
3,0,"Train to Oslo, fly to Pulkovo","Аэропорт ""Пулково 1""",Авиационная Ул.,-1,-1,bus,2,,,-1,-1,0,,,11,27
4,1,"Train to Oslo, fly to Helsinki, train",Oslo S,Oslo lufthavn stasjon,277,-1,train,3,,,-1,-1,10,160,NOK,47,22
5,1,"Train to Oslo, fly to Helsinki, train",Oslo,Helsinki,-1,-1,flight,1,OSL,HEL,277,201,27,,,,80
6,1,"Train to Oslo, fly to Helsinki, train",Lentoasema,Tikkurila,201,201,train,3,,,-1,-1,2,2,EUR,8,8
7,1,"Train to Oslo, fly to Helsinki, train",Tikkurila,Pietari,201,-1,train,3,,,-1,-1,25,35,EUR,395,194
8,2,"Train to Oslo, fly to Tallinn, train",Oslo S,Oslo lufthavn stasjon,277,-1,train,3,,,-1,-1,10,160,NOK,47,22
9,2,"Train to Oslo, fly to Tallinn, train",Oslo,Tallinn,-1,-1,flight,1,OSL,TLL,277,345,38,,,,85
10,2,"Train to Oslo, fly to Tallinn, train",Tallinn (TLL),Ülemiste,345,345,walk,6,,,-1,-1,,,,1,14
11,2,"Train to Oslo, fly to Tallinn, train",Ülemiste,Tapa,345,-1,train,3,,,-1,-1,2,3,EUR,70,46
12,2,"Train to Oslo, fly to Tallinn, train",Tapa,Saint-Peterburg Moskovsky Station,-1,-1,train,3,,,-1,-1,11,,,293,248
13,3,"Train to Oslo Sandefjord, fly to Pulkovo",Oslo S,Torp stasjon,277,-1,train,3,,,-1,-1,9,150,NOK,114,93
14,3,"Train to Oslo Sandefjord, fly to Pulkovo",Torp stasjon,Sandefjord lufthavn Torp,-1,-1,bus,2,,,-1,-1,8,120,NOK,2,4
15,3,"Train to Oslo Sandefjord, fly to Pulkovo",Oslo Sandefjord,Pulkovo,-1,-1,flight,1,TRF,LED,277,-1,94,,,,595
