,path_id,path_name,from_node,to_node,from_id,to_id,transport,transport_id,from_airport,to_airport,from_airport_id,to_airport_id,price_EUR,price_local,currency_local,distance_km,duration_min
0,0,"Fly Rome to Oslo, train",Roma Termini,Fiumicino Aeroporto,303,303,train,1,,,,,7,7,EUR,31,32
1,0,"Fly Rome to Oslo, train",Rome,Oslo,-1,-1,flight,0,FCO,OSL,303,277,48,,,,190
2,0,"Fly Rome to Oslo, train",Oslo lufthavn stasjon,Oslo S,-1,277,train,1,,,,,15,,,46,22
3,1,"Fly Rome to Oslo Sandefjord, train",Roma Termini,Fiumicino Aeroporto,303,303,train,1,,,,,7,7,EUR,31,32
4,1,"Fly Rome to Oslo Sandefjord, train",Rome,Oslo Sandefjord,-1,-1,flight,0,FCO,TRF,303,277,62,,,,330
5,1,"Fly Rome to Oslo Sandefjord, train",Sandefjord lufthavn Torp,Torp stasjon,-1,-1,bus,2,,,,,11,,,2,4
6,1,"Fly Rome to Oslo Sandefjord, train",Torp stasjon,Nationaltheatret stasjon,-1,277,train,1,,,,,14,,,112,86
7,2,"Train to Naples, fly to Oslo, train",Roma Termini,Napoli Centrale,303,267,train,1,,,,,13,14,EUR,213,68
8,2,"Train to Naples, fly to Oslo, train",Bus Metropark,Napoli - Capodichino Aeroporto,267,267,bus,2,,,,,1,1,EUR,5,10
9,2,"Train to Naples, fly to Oslo, train",Naples,Oslo,-1,-1,flight,0,NAP,OSL,267,277,42,,,,195
10,2,"Train to Naples, fly to Oslo, train",Oslo lufthavn stasjon,Oslo S,-1,277,train,1,,,,,15,,,46,22
11,3,Train,Roma Termini,Milano Centrale,303,252,train,1,,,,,31,30,EUR,562,190
12,3,Train,Milano Centrale,Basel Bad Bf,252,140,train,1,,,,,115,110,CHF,370,264
13,3,Train,Basel Bad Bf,Hamburg-Altona,140,196,train,1,,,,,134,130,EUR,827,397
14,3,Train,Hamburg-Altona,Göteborg Centralstation,196,193,train,1,,,,,62,700,SEK,818,577
15,3,Train,Göteborg Centralstation,Oslo S,193,277,train,1,,,,,57,650,SEK,332,208
16,4,"Night train, train",Salzburg Hbf,Malmö Centralstation,308,262,train,1,,,,,57,650,SEK,1421,1062
17,4,"Night train, train",Malmö C,Göteborg C,262,193,train,1,,,,,1,21,SEK,299,192
18,4,"Night train, train",Göteborg Centralstation,Oslo S,193,277,train,1,,,,,57,650,SEK,332,208
19,5,Bus via Prague,Rome Tiburtina,Prague Florenc Central Bus Station,303,297,bus,2,,,,,40,40,EUR,1468,1210
20,5,Bus via Prague,Prague,Oslo,297,277,bus,2,,,,,67,65,EUR,1546,1325
21,6,Bus,Rome,Szczecin,303,-1,bus,2,,,,,52,240,PLN,1725,1534
22,6,Bus,Szczecin,Oslo,-1,277,bus,2,,,,,40,180,PLN,1222,1320
23,7,"Drive, car train",Rome,Verona Porta Nuova Station,303,354,car,3,,,,,86,,,502,282
24,7,"Drive, car train",Hamburg Altona,Oslo,196,277,car,3,,,,,211,,,1060,626
25,8,Drive,Rome,Oslo,303,277,car,3,,,,,528,,,2721,1525
