from_city_id,from_city,to_city_id,to_city,path_id,path_name,from_node,to_node,from_id,to_id,transport,from_airport,to_airport,from_airport_id,to_airport_id,price_EUR,price_local,currency_local,distance_km,duration_min
100, 'Antwerp',102, 'Augsburg',3,"Fly Brussels to Munich, train",Brussels Airport - Zaventem,Brussels (BRU),-1,-1,transfer,,,-1,-1,,,,0,0
100, 'Antwerp',102, 'Augsburg',3,"Fly Brussels to Munich, train",Munich (MUC),Flughafen München,-1,-1,transfer,,,-1,-1,,,,0,0
100, 'Antwerp',102, 'Augsburg',3,"Fly Brussels to Munich, train",Hauptbahnhof,München Hbf,247,247,transfer,,,-1,-1,,,,0,0
100, 'Antwerp',102, 'Augsburg',4,"Train to Amsterdam Schiphol, fly to Munich, train",Schiphol Airport,Amsterdam Schiphol (AMS),111,111,transfer,,,-1,-1,,,,0,0
100, 'Antwerp',102, 'Augsburg',4,"Train to Amsterdam Schiphol, fly to Munich, train",Munich (MUC),Flughafen München,-1,-1,transfer,,,-1,-1,,,,0,0
100, 'Antwerp',102, 'Augsburg',4,"Train to Amsterdam Schiphol, fly to Munich, train",Hauptbahnhof,München Hbf,247,247,transfer,,,-1,-1,,,,0,0
100, 'Antwerp',102, 'Augsburg',5,"Fly Brussels to Frankfurt, train",Brussels Airport - Zaventem,Brussels (BRU),-1,-1,transfer,,,-1,-1,,,,0,0
100, 'Antwerp',102, 'Augsburg',5,"Fly Brussels to Frankfurt, train",Frankfurt (FRA),Frankfurt,174,174,transfer,,,-1,174,,,,0,0
100, 'Antwerp',102, 'Augsburg',6,"Fly Brussels to Zurich, train",Brussels Airport - Zaventem,Brussels (BRU),-1,-1,transfer,,,-1,-1,,,,0,0
100, 'Antwerp',102, 'Augsburg',6,"Fly Brussels to Zurich, train",Zurich (ZRH),Zuerich Flughafen,-1,-1,transfer,,,-1,-1,,,,0,0
100, 'Antwerp',104, 'Athens',0,Fly from Brussels,Brussels Airport - Zaventem,Brussels (BRU),-1,-1,transfer,,,-1,-1,,,,0,0
