path_id,from_id,to_id,transport_id,price_min_EUR,duration_min
2550001,255,100,2,5,175
2550002,255,102,2,20,645
2550003,255,105,1,35,155
2550004,255,111,2,13,185
2550005,255,111,3,22,144
2550006,255,116,2,3,105
2550007,255,126,2,23,495
2550008,255,128,1,55,120
2550009,255,140,2,27,485
2550010,255,145,2,8,100
2550011,255,145,8,5,84
2550012,255,150,1,30,650
2550013,255,159,2,11,190
2550014,255,159,8,6,139
2550015,255,161,2,8,85
2550016,255,161,8,7,83
2550017,255,172,2,7,70
2550018,255,172,3,13,61
2550019,255,172,8,5,72
2550020,255,174,2,16,245
2550021,255,181,2,50,995
2550022,255,196,2,28,600
2550023,255,205,1,35,290
2550024,255,219,2,30,900
2550025,255,220,2,2,61
2550026,255,220,3,4,24
2550027,255,220,8,4,42
2550028,255,225,1,21,65
2550029,255,225,2,17,765
2550030,255,233,2,11,175
2550031,255,239,2,7,230
2550032,255,244,2,11,390
2550033,255,247,2,21,600
2550034,255,266,2,16,495
2550035,255,290,1,55,550
2550036,255,291,1,40,155
2550037,255,293,8,28,287
2550038,255,297,2,35,725
2550039,255,308,2,25,760
2550040,255,309,2,64,1860
2550041,255,316,2,15,510
2550042,255,326,2,21,345
2550043,255,337,1,55,1125
2550044,255,348,2,35,1050
2550045,255,364,2,60,1190
2550046,255,365,2,45,900
2550047,255,368,2,55,1195
2550048,255,370,2,30,565
