path_id,from_id,to_id,transport_id,price_min_EUR,duration_min
1520001,152,8,1,231,450
1520002,152,9,1,212,520
1520003,152,10,1,88,1030
1520004,152,11,1,341,950
1520005,152,12,1,424,2295
1520006,152,13,1,232,445
1520007,152,15,1,157,690
1520008,152,16,1,1293,1835
1520009,152,17,1,46,465
1520010,152,18,1,286,660
1520011,152,20,1,129,655
1520012,152,21,1,258,595
1520013,152,22,1,304,445
1520014,152,23,1,282,740
1520015,152,25,1,184,535
1520016,152,26,1,83,330
1520017,152,27,1,332,1115
1520018,152,28,1,111,390
1520019,152,29,1,258,655
1520020,152,30,1,295,655
1520021,152,31,1,65,385
1520022,152,32,1,60,430
1520023,152,33,1,92,355
1520024,152,34,1,65,465
1520025,152,36,1,378,1390
1520026,152,37,1,692,910
1520027,152,38,1,332,967
1520028,152,39,1,341,1080
1520029,152,40,1,332,940
1520030,152,41,1,203,850
1520031,152,42,1,240,725
1520032,152,43,1,349,850
1520033,152,44,1,51,430
1520034,152,48,1,394,1030
1520035,152,49,1,358,875
1520036,152,50,1,466,1035
1520037,152,51,1,466,975
1520038,152,53,1,668,1185
1520039,152,55,1,124,760
1520040,152,56,1,79,670
1520041,152,57,1,107,610
1520042,152,58,1,55,390
1520043,152,60,1,553,1005
1520044,152,61,1,381,1245
1520045,152,62,1,344,967
1520046,152,63,1,268,720
1520047,152,64,1,378,1030
1520048,152,66,1,96,625
1520049,152,67,1,446,955
1520050,152,68,1,409,1125
1520051,152,70,1,590,1530
1520052,152,71,1,404,1195
1520053,152,72,1,544,1280
1520054,152,73,1,544,1480
1520055,152,75,1,384,1045
1520056,152,76,1,364,1005
1520057,152,78,1,138,325
1520058,152,79,1,418,1160
1520059,152,80,1,425,1040
1520060,152,81,1,378,945
1520061,152,82,1,436,960
1520062,152,83,1,372,800
1520063,152,85,1,422,860
1520064,152,87,1,397,910
1520065,152,88,1,474,990
1520066,152,89,1,466,840
1520067,152,90,1,335,860
1520068,152,91,1,181,570
1520069,152,92,1,507,950
1520070,152,93,1,327,570
1520071,152,94,1,320,885
1520072,152,96,1,349,860
1520073,152,97,1,553,990
1520074,152,98,1,279,800
1520075,152,99,1,340,885
1520076,152,101,1,68,385
1520077,152,103,1,35,485
1520078,152,104,1,40,90
1520079,152,105,1,30,285
1520080,152,106,1,30,385
1520081,152,107,1,38,300
1520082,152,108,1,31,290
1520083,152,111,1,65,190
1520084,152,112,1,113,280
1520085,152,113,1,88,290
1520086,152,114,1,29,330
1520087,152,116,1,35,170
1520088,152,117,1,42,235
1520089,152,119,1,32,330
1520090,152,120,1,40,210
1520091,152,121,1,23,330
1520092,152,122,1,56,205
1520093,152,123,1,21,130
1520094,152,124,1,49,165
1520095,152,126,1,80,305
1520096,152,127,1,26,355
1520097,152,128,1,35,135
1520098,152,129,1,55,320
1520099,152,130,1,16,100
1520100,152,130,2,49,935
1520101,152,130,3,81,973
1520102,152,131,1,79,345
1520103,152,134,1,21,135
1520104,152,136,1,25,395
1520105,152,137,1,30,155
1520106,152,142,1,40,305
1520107,152,145,1,30,170
1520108,152,146,1,65,245
1520109,152,147,1,49,185
1520110,152,150,1,30,375
1520111,152,151,1,30,80
1520112,152,153,1,27,140
1520113,152,154,1,40,385
1520114,152,159,1,50,170
1520115,152,160,1,70,265
1520116,152,161,1,100,170
1520117,152,162,1,40,315
1520118,152,163,1,50,320
1520119,152,164,1,60,260
1520120,152,166,1,62,240
1520121,152,167,1,29,300
1520122,152,171,1,43,310
1520123,152,172,1,55,180
1520124,152,174,1,24,155
1520125,152,176,1,45,400
1520126,152,177,1,28,95
1520127,152,177,2,45,850
1520128,152,177,3,75,882
1520129,152,178,1,112,470
1520130,152,179,1,35,350
1520131,152,180,1,35,465
1520132,152,181,1,22,225
1520133,152,183,1,28,400
1520134,152,184,1,40,355
1520135,152,186,1,60,305
1520136,152,189,1,30,105
1520137,152,189,3,90,1136
1520138,152,191,1,21,280
1520139,152,192,1,45,135
1520140,152,193,1,27,300
1520141,152,194,1,113,365
1520142,152,196,1,55,175
1520143,152,197,1,80,295
1520144,152,200,1,24,110
1520145,152,201,1,140,355
1520146,152,202,1,30,290
1520147,152,203,1,33,450
1520148,152,205,1,45,295
1520149,152,206,1,113,355
1520150,152,207,1,108,285
1520151,152,210,1,25,360
1520152,152,212,1,28,460
1520153,152,213,1,28,150
1520154,152,213,2,58,2127
1520155,152,214,1,26,150
1520156,152,214,2,60,2203
1520157,152,215,1,26,255
1520158,152,218,1,35,460
1520159,152,222,1,33,305
1520160,152,224,1,68,220
1520161,152,225,1,25,190
1520162,152,227,1,50,375
1520163,152,228,1,40,420
1520164,152,230,1,30,50
1520165,152,230,2,14,260
1520166,152,230,3,13,281
1520167,152,231,1,80,280
1520168,152,233,1,45,155
1520169,152,235,1,45,310
1520170,152,237,1,35,735
1520171,152,239,1,26,325
1520172,152,240,1,75,135
1520173,152,243,1,40,215
1520174,152,245,1,27,135
1520175,152,246,1,160,320
1520176,152,247,1,80,135
1520177,152,248,1,40,180
1520178,152,249,1,40,325
1520179,152,252,1,13,115
1520180,152,252,2,60,1155
1520181,152,252,3,92,1156
1520182,152,253,1,25,40
1520183,152,253,10,81,255
1520184,152,257,1,140,340
1520185,152,259,1,29,315
1520186,152,261,1,80,260
1520187,152,263,1,90,360
1520188,152,264,1,56,365
1520189,152,266,1,55,265
1520190,152,267,1,23,65
1520191,152,267,2,2,505
1520192,152,267,3,30,480
1520193,152,269,1,40,165
1520194,152,270,1,50,115
1520195,152,273,1,60,880
1520196,152,274,1,27,290
1520197,152,276,1,32,315
1520198,152,277,1,34,340
1520199,152,279,1,23,435
1520200,152,282,1,150,255
1520201,152,284,1,35,255
1520202,152,285,2,11,155
1520203,152,285,3,16,189
1520204,152,285,8,11,167
1520205,152,286,1,50,225
1520206,152,287,1,22,100
1520207,152,287,3,80,953
1520208,152,288,1,65,325
1520209,152,290,1,40,520
1520210,152,291,1,30,325
1520211,152,293,1,26,270
1520212,152,295,1,30,250
1520213,152,297,1,35,145
1520214,152,299,1,80,355
1520215,152,300,1,65,425
1520216,152,303,1,9,80
1520217,152,303,2,34,645
1520218,152,303,3,40,620
1520219,152,305,1,45,200
1520220,152,307,1,49,480
1520221,152,309,1,14,105
1520222,152,310,1,25,245
1520223,152,311,1,34,400
1520224,152,314,1,19,375
1520225,152,316,1,75,145
1520226,152,317,1,35,105
1520227,152,318,1,35,460
1520228,152,320,1,30,355
1520229,152,321,1,30,190
1520230,152,323,1,32,230
1520231,152,325,1,112,320
1520232,152,329,1,23,220
1520233,152,330,1,55,90
1520234,152,331,1,40,235
1520235,152,332,1,40,400
1520236,152,334,1,30,110
1520237,152,335,1,28,120
1520238,152,335,2,65,1270
1520239,152,336,1,69,155
1520240,152,337,1,35,555
1520241,152,338,1,24,300
1520242,152,339,1,69,470
1520243,152,340,1,90,430
1520244,152,341,1,30,425
1520245,152,342,1,35,145
1520246,152,343,1,50,395
1520247,152,345,1,30,360
1520248,152,347,1,36,430
1520249,152,348,1,30,120
1520250,152,349,1,19,320
1520251,152,351,1,55,260
1520252,152,353,1,12,105
1520253,152,354,1,17,105
1520254,152,356,1,83,285
1520255,152,357,1,28,155
1520256,152,359,1,41,435
1520257,152,362,1,40,460
1520258,152,364,1,28,165
1520259,152,364,2,62,2460
1520260,152,365,1,38,255
1520261,152,365,2,60,2294
1520262,152,370,1,60,130
1520263,152,371,1,42,280
1520264,152,546,1,28,365
1520265,152,547,1,304,995
1520266,152,550,1,124,1065
1520267,152,552,1,107,610
1520268,152,553,1,124,930
1520269,152,554,1,113,940
1520270,152,626,1,113,625
1520271,152,663,1,249,790
