from,to,transportation_type_id,transportation_type,price_unit,unit,price_euro,duration_minutes
137,119,1,flight,40,GBP,47.93,130.0
137,119,1,flight,40,GBP,47.93,320.0
137,120,1,flight,28,GBP,33.55,215.0
137,121,1,flight,21,GBP,25.16,290.0
137,122,1,flight,23,GBP,27.56,95.0
137,123,1,flight,7000,HUF,18.99,150.0
137,123, ,car,85000,HUF,230.58,1105.4
137,124,1,flight,29,EUR,29.0,145.0
137,124, ,car,190,EUR,190.0,879.0
137,126,1,flight,80,EUR,80.0,85.0
137,126, ,car,75,EUR,75.0,384.4
137,127,1,flight,240,DKK,32.26,290.0
137,127, ,car,1600,DKK,215.04,942.9
137,128,1,flight,22,EUR,22.0,70.0
137,128, ,car,75,EUR,75.0,365.4
137,129,1,flight,40,EUR,40.0,215.0
137,129, ,car,35,EUR,35.0,188.3
137,130,1,flight,24,EUR,24.0,105.0
137,130, ,car,150,EUR,150.0,684.2
137,131,1,flight,600,NOK,59.48,270.0
137,131, ,car,4400,NOK,436.17,1829.3
137,132,1,flight,900,NOK,89.22,390.0
137,132, ,car,5500,NOK,545.21,2364.7
137,134,1,flight,29,USD,25.98,210.0
137,134, ,car,350,USD,313.54,1630.6
137,135,1,flight,7000,RSD,-1,270.0
137,135, ,car,28000,RSD,-1,1127.3
137,135, ,car,22000,RUB,229.84,1137.8
137,135,1,flight,7000,RSD,-1,270.0
137,135, ,car,28000,RSD,-1,1127.3
137,135, ,car,22000,RUB,229.84,1137.8
137,136,1,flight,18,EUR,18.0,320.0
137,136, ,car,210,EUR,210.0,1002.3
137,139,1,flight,1000,CZK,39.86,1535.0
137,139, ,car,5000,CZK,199.28,960.0
137,140,1,flight,29,EUR,29.0,85.0
137,140, ,car,100,EUR,100.0,513.5
137,141, ,car,10000,RUB,104.47,506.9
137,142,1,flight,105,GBP,125.8,325.0
137,145,1,flight,18,EUR,18.0,270.0
137,145, ,car,130,EUR,130.0,598.7
137,146,1,flight,30,EUR,30.0,165.0
137,147,1,flight,260,DKK,34.94,240.0
137,147, ,car,1800,DKK,241.92,1040.9
137,147, ,car,1800,DKK,241.92,1030.0
137,147,1,flight,260,DKK,34.94,240.0
137,147, ,car,1800,DKK,241.92,1040.9
137,147, ,car,1800,DKK,241.92,1030.0
137,150,1,flight,26,EUR,26.0,110.0
137,151,1,flight,45,EUR,45.0,115.0
137,152,1,flight,27,EUR,27.0,150.0
137,153,1,flight,30,USD,26.87,305.0
137,153, ,car,320,USD,286.66,1438.4
137,154,1,flight,75,EUR,75.0,215.0
137,154, ,car,45,EUR,45.0,230.0
137,155, ,car,75,EUR,75.0,380.7
137,156,1,flight,55,EUR,55.0,215.0
137,156, ,car,70,EUR,70.0,343.9
137,159,1,flight,100,EUR,100.0,405.0
137,159, ,car,130,EUR,130.0,642.0
137,160,1,flight,130,EUR,130.0,275.0
137,160, ,car,190,EUR,190.0,856.3
137,161,1,flight,50,EUR,50.0,215.0
137,161, ,car,130,EUR,130.0,603.1
137,161, ,car,120,EUR,120.0,626.3
137,161, ,car,12000,RUB,125.37,595.5
137,161,1,flight,50,EUR,50.0,215.0
137,161, ,car,130,EUR,130.0,603.1
137,161, ,car,120,EUR,120.0,626.3
137,161, ,car,12000,RUB,125.37,595.5
137,161,1,flight,50,EUR,50.0,215.0
137,161, ,car,130,EUR,130.0,603.1
137,161, ,car,120,EUR,120.0,626.3
137,161, ,car,12000,RUB,125.37,595.5
137,162,1,flight,35,EUR,35.0,115.0
137,163,1,flight,2000,TRY,124.59,410.0
137,163, ,car,7000,TRY,436.07,2150.2
137,164,1,flight,380,HRK,50.32,145.0
137,164, ,car,1800,HRK,238.35,1276.5
137,165,1,flight,25,GBP,29.95,305.0
137,166,1,flight,28,GBP,33.55,125.0
137,167,1,flight,40,GBP,47.93,400.0
137,169, ,car,1700,DKK,228.48,939.8
137,171,1,flight,550,ILS,139.3,585.0
137,172,1,flight,17,EUR,17.0,245.0
137,172, ,car,130,EUR,130.0,571.9
137,174,1,flight,29,EUR,29.0,105.0
137,174, ,car,130,EUR,130.0,619.1
137,174, ,car,120,EUR,120.0,596.6
137,174,1,flight,29,EUR,29.0,105.0
137,174, ,car,130,EUR,130.0,619.1
137,174, ,car,120,EUR,120.0,596.6
137,175,1,flight,75,EUR,75.0,300.0
137,175, ,car,120,EUR,120.0,645.3
137,176,1,flight,29,EUR,29.0,200.0
137,177,1,flight,70,EUR,70.0,220.0
137,177, ,car,160,EUR,160.0,704.8
137,178,1,flight,1000,NOK,99.13,305.0
137,178, ,car,4600,NOK,456.0,1925.2
137,179,1,flight,35,EUR,35.0,115.0
137,179, ,car,170,EUR,170.0,750.0
137,180,1,flight,50,EUR,50.0,300.0
137,181,1,flight,200,EUR,200.0,380.0
