,from,to,transportation_type,price,distance,route
0,Sennaya Ploshchad,Moskovskaya,subway,0.8462505800464035,0.1593748,1
1,Moskovskaya,"Аэропорт ""Пулково 1""",walk,0.0,0.787912,1
2,"Аэропорт ""Пулково 1""",Pulkovo,walk,0.0,0.3432740974278694,1
3,Pulkovo,London Heathrow (LHR),flight,94.38760092807424,0.2116178,0
4,Pulkovo,London City (LCY),flight,157.5129883990719,0.08842304,1
5,Lentoasema,Helsinki,walk,0.0,0.2522626029066544,4
6,Helsinki,London Heathrow (LHR),flight,72.66716937354988,0.2116178,2
7,Helsinki,London Gatwick (LGW),flight,50.64012529002319,0.02373686,3
8,Helsinki,London Stansted (STN),flight,17.808055684454754,0.09836905,4
9,Brest C,Berlin ZOB,walk,0.0,0.28435,5
10,Berlin ZOB,Hertzallee,walk,0.0,0.1412617,5
11,Hertzallee,Bruxelles Midi,walk,0.0,0.05068683,5
12,Brest C,Braunschweig,walk,0.0,0.1611438,6
13,Braunschweig,Bruxelles Midi,walk,0.0,0.05068683,6
14,Kaliningrad-Passajirsk,Gdańsk Główny,walk,0.0,0.1134506,8
