,from,to,transportation_type,price,distance,route
0,Sennaya Ploshchad,Moskovskaya,subway,0.9519247985675917,0.1593748,1
1,Moskovskaya,"Аэропорт ""Пулково 1""",walk,0.0,0.787912,1
2,"Аэропорт ""Пулково 1""",Pulkovo,walk,0.0,0.3432740974278697,1
3,Pulkovo,London City (LCY),flight,74.37063109821742,0.08842304,0
4,Pulkovo,London Heathrow (LHR),flight,86.01062293892998,0.2116178,1
5,Lentoasema,Helsinki,walk,0.0,0.24552719166289425,3
6,Helsinki,London Heathrow (LHR),flight,76.17808324739637,0.2116178,2
7,Helsinki,London Gatwick (LGW),flight,61.11598200423829,0.02373686,3
8,Brest C,Braunschweig,walk,0.0,0.1611438,5
9,Braunschweig,Bruxelles Midi,walk,0.0,0.05068683,5
10,Kaliningrad-Passajirsk,Den Haag,walk,0.0,0.08922934,7
11,Saint Petersburg,Stockholm,carferry,114.6406649819249,0.2413064,8
12,Stockholm,Stockholm Citytermin Kungsbron,walk,0.0,0.454432,8
