path_id,from_id,to_id,transport_id,price_min_EUR,duration_min
80001,8,9,1,314,340
80002,8,10,1,184,690
80003,8,11,1,231,545
80004,8,13,1,120,150
80005,8,15,1,314,430
80006,8,16,1,1157,750
80007,8,17,1,92,120
80008,8,18,1,194,435
80009,8,22,1,258,125
80010,8,23,1,169,445
80011,8,27,1,277,725
80012,8,28,1,184,70
80013,8,29,1,120,400
80014,8,31,1,51,360
80015,8,32,1,166,260
80016,8,33,1,138,240
80017,8,34,1,166,85
80018,8,36,1,507,1285
80019,8,37,1,452,1115
80020,8,38,1,452,1115
80021,8,39,1,406,1140
80022,8,40,1,332,1125
80023,8,41,1,461,1045
80024,8,42,1,406,935
80025,8,43,1,323,690
80026,8,48,1,272,795
80027,8,49,1,272,700
80028,8,50,1,323,820
80029,8,51,1,315,865
80030,8,55,1,248,410
80031,8,56,1,158,360
80032,8,57,1,215,380
80033,8,58,1,240,565
80034,8,61,1,286,720
80035,8,62,1,481,1025
80036,8,63,1,378,1079
80037,8,64,1,611,1045
80038,8,66,1,294,395
80039,8,67,1,237,570
80040,8,68,1,275,790
80041,8,70,1,590,1130
80042,8,71,1,336,775
80043,8,72,1,544,1030
80044,8,73,1,480,985
80045,8,75,1,234,600
80046,8,76,1,267,675
80047,8,77,1,240,655
80048,8,78,1,203,390
80049,8,80,1,304,755
80050,8,81,1,231,560
80051,8,82,1,272,490
80052,8,83,1,253,620
80053,8,85,1,313,465
80054,8,87,1,240,665
80055,8,89,1,466,705
80056,8,90,1,390,540
80057,8,91,1,203,225
80058,8,92,1,299,525
80059,8,93,1,203,230
80060,8,94,1,234,480
80061,8,96,1,234,595
80062,8,97,1,395,740
80063,8,98,1,195,405
80064,8,99,1,313,630
80065,8,101,1,260,625
80066,8,104,1,95,340
80067,8,105,1,280,660
80068,8,106,1,350,570
80069,8,107,1,269,590
80070,8,108,1,269,575
80071,8,109,1,220,595
80072,8,111,1,150,475
80073,8,112,1,93,340
80074,8,113,1,79,170
80075,8,114,1,113,270
80076,8,115,1,200,500
80077,8,116,1,160,490
80078,8,118,1,221,630
80079,8,119,1,248,710
80080,8,120,1,260,535
80081,8,122,1,271,560
80082,8,123,1,117,385
80083,8,124,1,256,430
80084,8,126,1,280,500
80085,8,127,1,240,525
80086,8,128,1,150,405
80087,8,129,1,270,530
80088,8,130,1,200,410
80089,8,131,1,307,630
80090,8,132,1,363,720
80091,8,134,1,101,325
80092,8,135,1,111,300
80093,8,140,1,140,440
80094,8,145,1,240,350
80095,8,146,1,140,505
80096,8,147,1,242,460
80097,8,150,1,310,655
80098,8,151,1,290,475
80099,8,152,1,230,440
80100,8,153,1,101,350
80101,8,154,1,390,730
80102,8,156,1,390,690
80103,8,159,1,270,705
80104,8,160,1,250,525
80105,8,161,1,220,460
80106,8,162,1,240,530
80107,8,163,1,123,325
80108,8,166,1,271,535
80109,8,171,1,176,560
80110,8,172,1,170,465
80111,8,174,1,180,340
80112,8,175,1,300,520
80113,8,176,1,270,695
80114,8,177,1,260,425
80115,8,178,1,437,755
80116,8,179,1,430,640
80117,8,180,1,100,705
80118,8,181,1,270,540
80119,8,183,1,184,720
80120,8,184,1,293,520
80121,8,186,1,300,645
80122,8,191,1,202,525
80123,8,192,1,130,455
80124,8,193,1,239,495
80125,8,196,1,148,345
80126,8,197,1,140,495
80127,8,200,1,130,475
