id,city,country
800,Rishikesh,India
801,Gokarna,India
802,Arambol,India
803,Tiruvannamalai,India
804,Darjeeling,India
805,Haridwar,India
806,Kanyakumari,India
807,Buddh Gaya,India
808,Sarnath,India
809,Kushinagar,India
810,Shrawasti,India
811,Rajgir,India
812,Sankasya,India
813,Tirumala,India
814,Badrinath,India
815,Kedarnath,India
816,Prayagraj,India
817,Haridwar,India
818,Mathura,India
819,Vrindavan,India
820,Somnath,India
821,Dwarka,India
822,Jammu,India
823,Ujjain,India
824,Shirdi,India
825,Palolem,India
826,Varkala,India
827,Alwar,India
828,Amritapuri,India
829,Kolkatta,India
830,Jaipur,India
831,Chennai,India
832,Bangalore,India
833,Mumbai,India
834,Delhi,India
835,Agartala ,India
836,Agra ,India
837,Ahmedabad ,India
838,Aizawl ,India
839,Allahabad ,India
840,Amritsar ,India
841,Aurangabad ,India
842,Bagdogra ,India
843,Belgaum ,India
844,Bhavnagar ,India
845,Bhopal ,India
846,Bhubaneswar ,India
847,Bhuj ,India
848,Bikaner ,India
849,Chandigarh ,India
850,Coimbatore ,India
851,Dehradun ,India
852,Dharamsala ,India
853,Dibrugarh ,India
854,Dimapur ,India
855,Diu ,India
856,Gaya ,India
857,Chicalim,India
858,Gorakhpur ,India
859,Guwahati ,India
860,Gwalior ,India
861,Hubli ,India
862,Hyderabad  ,India
863,Imphal ,India
864,Indore ,India
865,Jabalpur ,India
866,Jaisalmer ,India
867,Jalgaon ,India
868,Jammu ,India
869,Jamnagar ,India
870,Jodhpur ,India
871,Jorhat ,India
872,Kadapa ,India
873,Kandla ,India
874,Kanpur ,India
875,Kazi Nazrul Islam ,India
876,Khajuraho ,India
877,Kochi  ,India
878,Kolhapur ,India
879,Kozhikode ,India
880,Kulu ,India
881,Leh ,India
882,Lucknow ,India
883,Ludhiana ,India
884,Madurai ,India
885,Mangalore ,India
886,Mysore ,India
887,Nagpur ,India
888,Nanded ,India
889,Nasik ,India
890,Pantnagar ,India
891,Pasighat ,India
892,Patna ,India
893,Porbandar ,India
894,Port blair ,India
895,Puducherry ,India
896,Pune ,India
897,Raipur ,India
898,Rajahmundry ,India
899,Rajkot ,India
900,Ranchi ,India
901,Salem  ,India
902,Shillong ,India
903,Shimla ,India
904,Shirdi ,India
905,Silchar ,India
906,Srinagar ,India
907,Surat ,India
908,Tezpur ,India
909,Thiruvananthapuram ,India
910,Tiruchirapalli ,India
911,Tirupati ,India
912,Tuticorin ,India
913,Udaipur ,India
914,Vadodara ,India
915,Varanasi ,India
916,Vidyanagar ,India
917,Vijayawada ,India
918,Visakhapatnam ,India
