8,Tehran,thra,80,51.4167,35.7,Iran
9,Tashkent,tas,191,69.2667,41.3,Uzbekistan
10,Sanaa,sah,195,44.2,15.35,Yemen
11,Phnom Penh,pnh,31,104.921,11.5696,Cambodia
12,Naypyidaw,nyt,120,96.1344976,19.7540045,Myanmar
13,Muscat,mct,132,58.5922,23.6139,Oman
14,Manila,mnlp,140,120.9772,14.5958,Philippines
15,Male,mle,106,73.5083,4.175,Maldives
16,Lhasa,lxa,37,91.1,29.65,China
17,Kuwait City,kwi,92,47.98,29.375,Kuwait
18,Kathmandu,ktm,123,85.3667,27.7167,Nepal
19,Kabul,kbl,1,69.1658,34.5328,Afghanistan
20,Islamabad,isb,133,73.0369,33.6989,Pakistan
21,Dushanbe,dyu,174,68.7864,38.5731,Tajikistan
22,Doha,doh,143,51.5333,25.3,Qatar
23,Dhaka,dac,14,90.3961,23.7161,Bangladesh
24,Colombo,cmba,167,79.8333,6.9167,Sri Lanka
25,Bishkek,fru,93,74.5667,42.8667,Kyrgyzstan
26,Beirut,bey,96,35.5131,33.8869,Lebanon
27,Bandar Seri Begawan,bwn,25,114.9167,4.9167,Brunei
28,Baghdad,bgw,81,44.4167,33.35,Iraq
29,Astana,nqz,88,71.4333,51.1333,Kazakhstan
30,Ashgabat,asb,183,58.3833,37.95,Turkmenistan
31,Amman,amma,87,35.9333,31.95,Jordan
32,Manama,bah,13,50.5831,26.2167,Bahrain
33,Tbilisi,tbs,64,44.7925,41.7225,Georgia
34,Baku,gyd,11,49.8352,40.3667,Azerbaijan
35,Yerevan,evn,8,44.5144,40.1814,Armenia
36,Honolulu,hnl,189,-157.846,21.3294,USA
37,San Francisco,sfo,189,-122.443,37.7562,USA
38,Orlando,orlb,189,-81.3369,28.4772,USA
39,Las Vegas,lasa,189,-115.2654,36.2333,USA
40,Los Angeles,laxa,189,-118.4068,34.1139,USA
41,Miami,mia,189,-80.2102,25.7839,USA
42,New York,nyca,189,-73.9249,40.6943,USA
43,Johannesburg,jnba,163,28.0416,-26.2044,South Africa
44,Dammam,dmm,153,50.1,26.4333,Saudi Arabia
45,Riyadh,ruh,153,46.71,24.65,Saudi Arabia
47,Cancun,cun,112,-86.8510468,21.1617854,Mexico
48,Fukuoka,fuk,86,130.4019,33.5903,Japan
50,Kyoto,,86,135.7669,35.0111,Japan
51,Osaka,osaa,86,135.5019,34.6936,Japan
52,Jerusalem,,83,35.2167,31.7833,Israel
53,Batam,bth,79,104.0378246,1.1061034,Indonesia
55,Kolkata,ccu,78,88.3378,22.5411,India
56,Jaipur,jai,78,75.8667,26.9167,India
57,Chennai,maa,78,80.275,13.0825,India
58,Hurgada,hrg,52,33.8307062,27.222556,Egypt
59,Beijing,any,37,116.3914,39.905,China
60,Zhuhai,zuh,37,113.5678,22.2769,China
61,Guilin,kwl,37,110.2833,25.2667,China
62,Vancouver,yvra,33,-123.1,49.25,Canada
63,Toronto,ytoa,33,-79.3733,43.7417,Canada
64,Rio de Janeiro,rioa,24,-43.1964,-22.9083,Brazil
65,Buenos Aires,buea,7,-58.3819,-34.5997,Argentina
66,Bangalore,blr,78,77.598,12.9699,India
67,Krabi,kbv,176,98.9189,8.0592,Thailand
68,Jeju,cju,164,126.5219,33.5097,South Korea
69,Abu Dhabi,auha,187,54.3686,24.4781,United Arab Emirates
70,Auckland,akl,125,174.7833,-36.85,New Zealand
71,Cebu,ceb,140,123.9,10.3,Philippines
72,Sydney,syd,9,151.2094,-33.865,Australia
73,Melbourne,mela,9,144.9631,-37.8136,Australia
74,Marrakech,rak,118,-7.9811,31.6295,Morocco
75,Penang Island,pen,105,100.250172,5.3787924,Malaysia
76,Jakarta,cgki,79,106.8451,-6.2146,Indonesia
77,Ha Noi,han,194,105.8544441,21.0294498,Vietnam
78,Cairo,cai,52,31.2394,30.0561,Egypt
79,Johor Bahru,jhb,105,103.7611,1.4556,Malaysia
80,Denpasar,dps,79,115.2167,-8.6667,Indonesia
81,Ho Chi Minh,sgn,194,106.7017555,10.7758439,Vietnam
82,Shanghai,csha,37,121.4667,31.1667,China
83,Seoul,sela,164,127.0,37.5833,South Korea
84,Medina,med,153,39.6,24.4667,Saudi Arabia
85,Guangzhou,can,37,113.259,23.1288,China
86,Mecca,jed,153,39.8261,21.4225,Saudi Arabia
87,Taipei,tpet,173,121.5319,25.0478,Taiwan
88,Pattaya,utp,176,100.9009534,12.931941,Thailand
89,Tokyo,tyoa,86,139.6922,35.6897,Japan
90,Phuket,hkt,176,98.3975,7.8881,Thailand
91,Mumbai,bom,78,72.8333,18.9667,India
92,Shenzhen,szx,37,114.054,22.535,China
93,Delhi,del,78,77.23,28.66,India
94,Kuala Lumpur,kulm,105,101.6953,3.1478,Malaysia
95,Dubai,dzba,187,55.3094,25.2697,United Arab Emirates
96,Singapore,sins,158,103.8,1.3,Singapore
97,Macau,mfm,37,113.545,22.203,China
98,Bangkok,bkkt,176,100.5167,13.75,Thailand
99,Hong Kong,hkga,37,114.185,22.305,China
100,Antwerp,anr,17,4.3997,51.2211,Belgium
101,Aberdeen,abz,188,-2.11,57.15,United Kingdom
102,Augsburg,agb,65,10.8983,48.3717,Germany
103,Alexandroupoli,axd,67,25.8667,40.85,Greece
104,Athens,ath,67,23.7161,37.9794,Greece
105,Alicante,alc,166,-0.4831,38.3453,Spain
106,Almeria,lei,166,-2.4628135,36.8414197,Spain
107,Aalborg,aal,47,9.9166,57.0337,Denmark
108,Aarhus,aar,47,10.2107,56.1572,Denmark
109,Ancona,aoi,84,13.5167,43.6167,Italy
111,Amsterdam,ams,124,4.9166,52.35,Netherlands
112,Alanya,gzp,182,31.9997,36.5436,Turkey
113,Ankara,esb,182,32.85,39.93,Turkey
114,Antalya,ayt,182,30.6956,36.9081,Turkey
115,Altenrhein,ach,171,9.5540541,47.4903839,Switzerland
116,Brussels,brus,17,4.3517,50.8467,Belgium
117,Burgas,boj,26,27.4667,42.5,Bulgaria
