ICY,Icy Bay Airport,Icy Bay,US,United States,59.969,-141.6618
HGZ,Hog River Airport,Hogatza,US,United States,66.1761,-155.6848
BYW,Blakely Island Airport,Blakely Island,US,United States,48.579,-122.8263
BDF,Rinkenberger Airport,Bradford,US,United States,41.2309,-89.6157
RFK,Rollang Field,Rolling Fork,US,United States,32.9543,-90.8459
BCS,Southern Seaplane Airport,Belle Chasse,US,United States,29.866,-90.0223
DUF,Pine Island Airport,Corolla,US,United States,36.2535,-75.7885
FOB,Fort Bragg Airport,Fort Bragg,US,United States,39.4743,-123.7956
AFT,Afutara Aerodrome,Bila,SB,Solomon Islands,-9.1914,160.9486
RNA,Ulawa Airport,Arona,SB,Solomon Islands,-9.8605,161.9795
RNB,Ronneby Airport,Ronneby,SE,Sweden,56.2667,15.265
ATD,Uru Harbour Airport,Atoifi,SB,Solomon Islands,-8.8733,161.011
VEV,Barakoma Airport,Barakoma,SB,Solomon Islands,-7.9128,156.706
BPF,Batuna Aerodrome,Batuna Mission Station,SB,Solomon Islands,-8.562,158.1193
GEF,Geva Airport,Liangia,SB,Solomon Islands,-7.5758,156.597
AKS,Auki Airport,Auki,SB,Solomon Islands,-8.7026,160.682
BNY,Bellona/Anua Airport,Anua,SB,Solomon Islands,-11.3022,159.7983
BAS,Ballalae Airport,Ballalae,SB,Solomon Islands,-6.9907,155.8867
FRE,Fera/Maringe Airport,Fera Island,SB,Solomon Islands,-8.1075,159.577
HIR,Honiara International Airport,Honiara,SB,Solomon Islands,-9.428,160.055
MBU,Babanakira Airport,Mbambanakira,SB,Solomon Islands,-9.7475,159.839
IRA,Ngorangora Airport,Kirakira,SB,Solomon Islands,-10.4497,161.898
SCZ,Santa Cruz/Graciosa Bay/Luova Airport,Santa Cruz/Graciosa Bay/Luova,SB,Solomon Islands,-10.7203,165.795
GZO,Nusatupe Airport,Gizo,SB,Solomon Islands,-8.0978,156.864
MNY,Mono Airport,Stirling Island,SB,Solomon Islands,-7.4169,155.565
PRS,Parasi Airport,Parasi,SB,Solomon Islands,-9.6417,161.425
RNL,Rennell/Tingoa Airport,Rennell Island,SB,Solomon Islands,-11.5339,160.063
EGM,Sege Airport,Sege,SB,Solomon Islands,-8.5789,157.876
NNB,Santa Ana Airport,Santa Ana Island,SB,Solomon Islands,-10.848,162.4541
RUS,Marau Airport,Marau,SB,Solomon Islands,-9.8617,160.825
VAO,Suavanao Airport,Suavanao,SB,Solomon Islands,-7.5856,158.731
XYA,Yandina Airport,Yandina,SB,Solomon Islands,-9.0928,159.2184
KGE,Kagau Island Airport,Kagau Island,SB,Solomon Islands,-7.333,157.583
KWS,Kwailabesi Airport,Kwailabesi,SB,Solomon Islands,-8.3605,160.7751
GTA,Gatokae Airport,Gatokae,SB,Solomon Islands,-8.7392,158.2031
RIN,Ringi Cove Airport,Ringi Cove,SB,Solomon Islands,-8.1264,157.143
RBV,Ramata Airport,Ramata,SB,Solomon Islands,-8.1681,157.643
CEX,Chena Hot Springs Airport,Chena Hot Springs,US,United States,65.0518,-146.0474
HED,Herendeen Bay Airport,Herendeen Bay,US,United States,55.8014,-160.8993
TWE,Taylor Airport,Taylor,US,United States,65.6793,-164.7988
LNI,Lonely Air Station,Lonely,US,United States,70.9107,-153.2422
CDL,Candle 2 Airport,Candle,US,United States,65.9077,-161.9263
BSW,Boswell Bay Airport,Boswell Bay,US,United States,60.4231,-146.1459
INU,Nauru International Airport,Yaren District,NR,Nauru,-0.5475,166.919
ATP,Aitape Airport,Aitape,PG,Papua New Guinea,-3.1436,142.3468
AMU,Amanab Airport,Amanab,PG,Papua New Guinea,-3.586,141.2143
