path_id,from_id,to_id,transport_id,price_min_EUR,duration_min,counter
850045,85,60,2,3,21,326
3580054,358,307,2,5,81,326
560079,56,93,3,1,275,281
1470219,147,262,3,1,39,196
3570289,357,371,3,2,336,315
2250257,225,263,2,7,205,326
2970219,297,216,2,5,100,325
1270125,127,169,2,5,52,320
560274,56,551,3,2,245,280
5510001,551,18,2,1,1380,317
2140205,214,213,3,2,52,118
610078,61,92,2,22,600,317
560277,56,552,3,3,605,279
1300154,130,177,3,3,37,277
3230274,323,546,3,3,160,148
1210050,121,273,2,2,31,313
560280,56,554,3,4,665,279
1510183,151,250,1,40,400,327
2390073,239,211,3,4,20,274
1590115,159,161,3,4,49,133
3050187,305,232,3,5,194,327
3290220,329,271,2,10,120,303
5500011,550,23,2,5,360,301
790069,79,96,2,1,50,300
1710063,171,78,2,2,420,300
1340256,134,268,3,5,141,292
340025,34,33,3,5,776,289
940060,94,75,2,7,300,296
940065,94,79,2,7,260,294
980075,98,88,2,4,120,292
3480237,348,219,3,5,80,219
2250277,225,281,2,10,315,292
890043,89,51,2,23,513,286
440024,44,32,2,2,157,282
690074,69,95,2,6,125,279
2140351,214,364,3,5,138,149
1300268,130,304,2,5,75,278
3090267,309,280,2,5,105,278
2250264,225,265,2,11,455,277
2070002,207,8,2,46,2160,274
2250139,225,142,2,8,220,268
2250153,225,158,2,9,275,267
2490090,249,106,2,6,180,261
980005,98,11,2,13,720,246
3090306,309,323,2,10,340,241
1770248,177,287,3,5,81,116
2140261,214,279,3,5,147,116
3360039,336,52,2,2,67,235
1260169,126,190,2,7,154,235
560075,56,91,3,6,1015,277
1640232,164,343,2,5,145,230
780046,78,58,2,6,450,223
1930172,193,208,2,10,140,205
2250112,225,120,2,8,175,201
1130161,113,206,3,6,806,189
1590195,159,282,3,6,62,159
2070028,207,34,2,11,1260,197
980053,98,67,2,15,765,197
2140273,214,292,2,9,150,194
2070191,207,257,2,6,728,190
2070138,207,163,2,6,765,189
2120177,212,289,2,13,205,187
3530211,353,236,2,7,200,185
560040,56,55,3,7,1445,277
3290197,329,242,1,8,80,315
3090106,309,117,2,11,390,174
2400137,240,154,2,5,125,170
3480334,348,308,3,7,174,171
3450258,345,346,3,7,116,151
420052,42,63,2,24,695,167
400032,40,39,2,18,350,165
2520368,252,354,2,5,120,160
450037,45,44,3,7,242,133
2770029,277,38,1,146,738,302
2590229,259,261,2,5,135,159
3390095,339,114,2,9,1270,159
5500243,550,553,1,18,45,300
3530270,353,302,2,11,235,159
400029,40,37,2,25,435,159
2790120,279,215,3,8,278,171
2520395,252,663,1,162,590,299
180268,18,547,1,20,65,297
3650285,365,297,2,5,300,153
1280171,128,187,2,8,100,152
3400160,340,237,2,7,240,150
3290031,329,40,1,165,855,290
2110007,211,272,3,8,74,132
3290182,329,217,2,17,270,148
2050049,205,64,1,271,965,290
5520291,552,626,3,9,2120,272
3300195,330,276,2,5,151,147
2250231,225,239,2,8,370,144
3050275,305,346,2,12,235,144
1530325,153,357,3,9,547,137
3090088,309,104,2,12,720,142
1160288,116,306,2,5,170,141
3140013,314,22,1,55,465,288
2140021,214,30,1,128,580,282
3140105,314,124,3,9,149,101
930066,93,77,1,82,240,278
400027,40,36,1,101,348,277
2520271,252,270,2,10,325,140
3050229,305,289,2,19,275,139
560042,56,57,3,10,2205,271
2860076,286,109,2,7,125,138
1910296,191,358,1,4,60,275
2250150,225,153,2,12,2166,138
3290032,329,41,1,156,635,275
3390093,339,113,2,5,705,137
1220130,122,167,2,7,130,137
2250118,225,122,2,8,165,136
1280282,128,301,3,10,90,119
2410014,241,370,2,9,225,135
560086,56,99,1,117,410,272
1130095,113,114,2,5,510,134
90016,9,25,2,20,760,134
3090197,309,207,2,15,570,131
1920124,192,141,2,6,145,129
930280,93,550,3,11,2820,279
1300092,130,109,2,10,210,129
560050,56,66,3,11,2485,262
310138,31,171,2,13,300,129
1160257,116,272,3,11,73,181
1180165,118,310,2,10,295,128
5530067,553,89,1,113,930,269
3410229,341,340,2,5,125,127
5530052,553,72,1,169,1215,267
2930239,293,235,2,12,1525,126
960040,96,53,10,12,20,320
1910268,191,325,1,14,115,262
3390077,339,94,1,107,695,261
5530035,553,50,1,135,990,260
2070100,207,113,2,5,510,124
2520180,252,189,2,9,110,123
1130093,113,112,2,5,480,122
2250178,225,180,1,12,230,259
560005,56,12,1,119,1075,259
550083,55,98,1,82,150,258
1130027,113,34,2,11,1230,122
2050050,205,65,1,272,1115,258
2140173,214,181,3,12,511,117
5530074,553,97,1,135,1010,257
3690207,369,327,2,5,140,121
5470065,547,82,1,121,570,256
2520343,252,335,2,6,110,121
2480297,248,319,2,13,165,119
1590119,159,172,2,5,190,117
2520149,252,155,2,12,285,116
130050,13,68,1,171,850,256
130270,13,548,1,183,705,256
2140017,214,26,1,32,335,253
2250217,225,222,2,10,345,113
900050,90,67,2,7,180,112
3160321,316,326,2,5,140,110
290004,29,9,3,16,1851,249
3140011,314,20,1,82,820,253
530051,53,76,10,17,2040,275
1590214,159,306,2,8,265,108
690006,69,15,1,87,250,253
890037,89,48,1,39,135,251
770067,77,83,1,71,230,247
5530053,553,73,1,163,1055,247
2520201,252,205,1,7,115,241
1590103,159,145,2,6,160,105
610071,61,85,3,19,154,312
170051,17,69,1,12,95,237
2250177,225,179,1,15,165,236
720054,72,70,1,113,180,236
2520304,252,300,1,27,255,233
3700165,370,175,2,7,140,105
130043,13,61,1,148,965,232
3210143,321,176,1,12,120,231
2250321,225,318,1,10,85,228
1340036,134,45,1,20,290,227
1210023,121,122,2,6,180,102
5520069,552,81,1,92,330,224
2250283,225,288,1,19,265,222
3420228,342,261,2,10,165,102
5530051,553,71,1,92,955,222
2930274,293,260,2,10,250,102
130069,13,87,1,137,645,221
2250058,225,74,1,18,200,218
610043,61,59,3,24,487,323
940066,94,80,1,55,180,214
2250166,225,167,2,15,255,102
3390073,339,90,1,129,655,213
3390129,339,163,2,10,1355,101
2250223,225,227,1,21,250,204
3140006,314,13,1,41,595,202
1910162,191,194,1,45,250,201
940018,94,27,1,60,130,192
2250331,225,332,1,24,265,190
3090012,309,21,1,110,565,189
2250341,225,342,1,10,115,175
2130015,213,24,1,123,695,174
690031,69,43,1,171,495,173
2130142,213,159,1,8,105,166
1270248,127,345,1,11,115,161
710007,71,14,10,34,2550,327
2250353,225,356,1,16,160,155
1300033,130,42,1,137,709,155
2520283,252,286,1,8,65,154
560015,56,25,1,64,420,149
3640003,364,10,1,46,1230,148
2250203,225,210,1,19,85,147
2130264,213,294,1,14,95,145
820009,82,16,3,45,2804,319
3140022,314,31,1,19,245,142
3390185,339,257,2,10,1404,101
3140279,314,340,1,19,415,141
3690163,369,246,1,22,120,139
2130119,213,132,1,27,315,139
2520280,252,285,1,12,100,138
3650156,365,165,1,20,140,137
2250224,225,228,1,25,260,135
2250158,225,162,1,8,75,134
1910282,191,341,1,12,95,132
2250146,225,150,1,12,80,131
3140146,314,178,1,26,395,128
2250265,225,266,1,11,100,127
2140093,214,108,1,17,225,127
2130185,213,200,1,27,280,125
2120118,212,171,1,19,265,124
1270229,127,321,1,12,210,123
3580004,358,62,1,198,1710,119
2130272,213,299,1,30,305,118
1300137,130,156,1,30,250,118
2140019,214,28,1,41,575,118
3650280,365,293,1,12,120,117
1910297,191,359,1,17,215,116
2050184,205,246,1,23,250,116
2250123,225,126,1,12,80,115
1740030,174,39,1,183,665,114
2140124,214,131,1,25,140,113
2840236,284,321,1,7,90,112
1910114,191,131,1,21,115,111
2050125,205,156,1,25,330,111
2140009,214,17,1,27,395,110
2140069,214,84,1,37,395,110
2910184,291,228,1,9,160,108
3140069,314,86,1,35,445,108
3290210,329,262,1,9,70,107
2140326,214,339,1,23,430,107
2140119,214,127,1,8,105,105
2140315,214,329,1,10,115,105
2250226,225,231,1,24,280,105
1910286,191,347,1,17,220,103
3480295,348,277,1,9,140,100
2140109,214,121,1,9,160,100
3140067,314,84,1,37,585,100
2490027,249,37,1,187,910,100
