path_id,from_id,to_id,transport_id,Rome2Rio_price_min_EUR,duration_min,Comments,Cheaptrip_price_min_EUR,price diff %,price_to_fix
3050158,305,193,1,"9,99",75, min Kiwi- 7 eur,"6,00","66,50",7
1210064,121,365,1,"19,31",126, min Kiwi- 16 eur,"7,00","175,86",16
1270158,127,214,1,"13,28",105, min Kiwi- 10 eur,"7,00","89,71",10
1270260,127,365,1,"10,54",75, min Kiwi- 8 eur,"7,00","50,57",8
2490180,249,205,1,"11,50",75,,"7,00","64,29",12
3650106,365,121,1,"16,77",145, min Kiwi- 14 eur,"7,00","139,57",14
1710175,171,231,1,70,273, min Kiwi- 67 eur,"8,00","775,00",67
1910271,191,329,1,"13,36",70, min Kiwi- 7 eur,"8,00","67,00",7
2140119,214,127,1,"12,13",105, min Kiwi- 9 eur,"8,00","51,63",9
2250158,225,162,1,"13,97",70, min Kiwi- 8 eur,"8,00","74,63",8
2860165,286,252,1,"11,95",63, min Kiwi- 10 eur,"8,00","49,38",10
3530336,353,365,1,"17,65",78, min Kiwi- 14 eur,"8,00","120,63",14
3580067,358,365,1,"32,35",387,min Skyscanner- 33 eur,"8,00","304,38",32
1210036,121,214,1,"23,7",135,,"9,00","163,33",24
1520232,152,303,1,"13,27",72,,"9,00","47,44",13
2140109,214,121,1,"21,71",144, min Kiwi- 19 eur,"9,00","141,22",19
2300218,230,287,1,"13,45",75,,"9,00","49,44",13
2870166,287,230,1,"13,88",75, min Kiwi- 12 eur,"9,00","54,22",12
3030132,303,152,1,"13,36",70, min Kiwi- 12 eur,"9,00","48,44",12
3650343,365,353,1,"16,8",78,,"9,00","86,67",17
1160341,116,353,1,"16,45",78, min Kiwi- 14 eur,"10,00","64,50",14
1450241,145,284,1,"24,25",129,,"10,00","142,50",24
1500194,150,264,1,"15,99",69, min Kiwi- 13 eur,"10,00","59,90",13
2050107,205,128,1,"5,4",55,,"10,00","-46,00",5
2250341,225,342,1,16,87, min Kiwi- 14 eur,"10,00","60,00",14
2640118,264,150,1,"16,75",72, min Kiwi- 14 eur,"10,00","67,50",14
2660211,266,225,1,"16,45",84, min Kiwi- 14 eur,"10,00","64,50",14
2840119,284,145,1,"24,24",132, min Kiwi- 22 eur,"10,00","142,40",22
3180159,318,225,1,"15,44",72, min Kiwi- 13 eur,"10,00","54,40",13
3530100,353,116,1,"34,98",84, min Kiwi- 14 eur,"10,00","249,80",14
2050255,205,351,1,"8,15",45,,"6,00","35,83",8
2840258,284,351,1,"4,25",50,,"6,00","-29,17",4
3510185,351,205,1,"5,58",45,,"6,00","-7,00",6
3510257,351,284,1,"8,47",55,,"6,00","41,17",8
1270141,127,191,1,"9,92",72,,"7,00","41,71",10
1930263,193,329,1,"7,91",60,,"7,00","13,00",8
2050187,205,249,1,"7,84",80,,"7,00","12,00",8
2050188,205,252,1,"9,99",87,,"7,00","42,71",10
2520201,252,205,1,"9,99",115,,"7,00","42,71",10
2840236,284,321,1,"6,95",90,,"7,00","-0,71",7
3210232,321,284,1,"7,52",90,,"7,00","7,43",8
3290158,329,193,1,"8,16",60,,"7,00","16,57",8
1590150,159,213,1,"9,99",78,,"8,00","24,88",10
1620179,162,225,1,10,75,,"8,00","25,00",10
1910109,191,127,1,"9,96",72,,"8,00","24,50",10
1930156,193,191,1,"9,23",70,,"8,00","15,38",9
2130142,213,159,1,"9,96",105,,"8,00","24,50",10
2250315,225,314,1,"10,68",93,,"8,00","33,50",11
2420231,242,329,1,"7,91",72,,"8,00","-1,13",8
2520283,252,286,1,"8,96",63,,"8,00","12,00",9
2770234,277,305,1,"9,52",78,,"8,00","19,00",10
3290156,329,191,1,"9,24",66,,"8,00","15,50",9
3290197,329,242,1,"7,99",72,,"8,00","-0,13",8
3650117,365,127,1,"9,96",78,,"8,00","24,50",10
1910160,191,193,1,"9,78",69,,"9,00","8,67",10
2250247,225,252,1,"10,68",90,,"9,00","18,67",11
2280220,228,291,1,"10,81",135,,"9,00","20,11",11
2520218,252,225,1,9,90,,"9,00","0,00",9
2620101,262,329,1,"7,91",60,,"9,00","-12,11",8
2910184,291,228,1,"10,81",144,,"9,00","20,11",11
3050219,305,277,1,"9,52",84,,"9,00","5,78",10
3140191,314,225,1,"9,96",123,,"9,00","10,67",10
3290210,329,262,1,"7,91",60,,"9,00","-12,11",8
3480295,348,277,1,"12,83",129,,"9,00","42,56",13
1050251,105,284,1,"7,36",50,,"10,00","-26,40",7
1200129,120,162,1,"14,01",65,,"10,00","40,10",14
1280187,128,205,1,"12,92",65,,"10,00","29,20",13
1620102,162,120,1,"13,57",60,,"10,00","35,70",14
2140300,214,314,1,"8,79",60,,"10,00","-12,10",9
2140315,214,329,1,"13,51",90,,"10,00","35,10",14
2250321,225,318,1,14,72,,"10,00","40,00",14
2490247,249,284,1,"7,98",75,,"10,00","-20,20",8
2840088,284,105,1,"8,86",60,,"10,00","-11,40",9
2840190,284,249,1,"8,5",90,,"10,00","-15,00",9
3140182,314,214,1,"8,94",60,,"10,00","-10,60",9
3290180,329,214,1,"13,57",87,,"10,00","35,70",14
3420192,342,225,1,"14,43",90,,"10,00","44,30",14
