path_id,from_id,to_id,transport_id,Rome2Rio_price_min_EUR,duration_min,Comments,Cheaptrip_price_min_EUR,price diff %,price_to_fix
1910296,191,358,1,"10,32",60, min Kiwi- 7 eur,4,"158,00",7
2520201,252,205,1,"9,99",115,,7,"42,71",10
2840236,284,321,1,9,90,,7,"28,57",9
3290197,329,242,1,"9,53",80,,8,"19,13",10
2130142,213,159,1,10,105,,8,"25,00",10
2520283,252,286,1,"12,99",65, min Kiwi- 10 eur,8,"62,38",10
2250158,225,162,1,"10,96",75,,8,"37,00",11
2140119,214,127,1,12,105, min Kiwi- 9 eur,8,"50,00",9
2910184,291,228,1,10,160,,9,"11,11",10
3290210,329,262,1,"9,52",70,,9,"5,78",10
3480295,348,277,1,12,140,,9,"33,33",12
2140109,214,121,1,30,160, min Kiwi- 27 eur,9,"233,33",27
2250321,225,318,1,15,85,,10,"50,00",15
2250341,225,342,1,16,115, min Kiwi- 14 eur,10,"60,00",14
2140315,214,329,1,"14,54",115,,10,"45,40",15
1270248,127,345,1,10,115,,11,"-9,09",10
2250265,225,266,1,"17,22",100,,11,"56,55",17
2250178,225,180,1,"51,45",230,min Skyscanner- 15 eur,12,"328,75",15
170051,17,69,1,14,95,,12,"16,67",14
3210143,321,176,1,"16,98",120,,12,"41,50",17
2520280,252,285,1,12,100,,12,"0,00",12
1910282,191,341,1,9,95,,12,"-25,00",9
2250146,225,150,1,18,80, min Kiwi- 14 eur,12,"50,00",14
1270229,127,321,1,25,210, min Kiwi- 22 eur,12,"108,33",22
3650280,365,293,1,"36,76",120, min Kiwi- 34 eur,12,"206,33",34
2250123,225,126,1,"16,14",80,,12,"34,50",16
1910268,191,325,1,"9,64",115,,14,"-31,14",10
2130264,213,294,1,36,95, min Kiwi- 33 eur,14,"157,14",33
2250177,225,179,1,"21,52",165,min Skyscanner- 13 eur,15,"43,47",13
2250353,225,356,1,"16,92",160,,16,"5,75",17
2140093,214,108,1,"31,52",225,,17,"85,41",32
1910297,191,359,1,45,215,,17,"164,71",45
1910286,191,347,1,"47,69",220,,17,"180,53",48
5500243,550,553,1,"13,39",45,,18,"-25,61",13
2250058,225,74,1,"30,45",200,,18,"69,17",30
2250283,225,288,1,"28,2",265, min Kiwi- 25 eur,19,"48,42",25
2250203,225,210,1,"18,44",85,,19,"-2,95",18
3140022,314,31,1,"16,55",245,,19,"-12,89",17
3140279,314,340,1,30,415,,19,"57,89",30
2120118,212,171,1,29,265,,19,"52,63",29
180268,18,547,1,,65,не удалось найти ни одного рейса,20,"-100,00",0
1340036,134,45,1,"24,08",290,,20,"20,40",24
3650156,365,165,1,16,140,,20,"-20,00",16
2250223,225,227,1,"16,62",250,,21,"-20,86",17
1910114,191,131,1,"18,87",115,,21,"-10,14",19
3690163,369,246,1,"27,19",120,,22,"23,59",27
2050184,205,246,1,44,250,,23,"91,30",44
2140326,214,339,1,118,430,,23,"413,04",118
2250331,225,332,1,"44,38",265, min Kiwi- 20 eur,24,"84,92",20
2250226,225,231,1,20,280,,24,"-16,67",20
2250224,225,228,1,22,260,,25,"-12,00",22
2140124,214,131,1,"31,49",140,,25,"25,96",31
2050125,205,156,1,,330,не удалось найти ни одного рейса,25,"-100,00",0
3140146,314,178,1,73,395,,26,"180,77",73
2520304,252,300,1,29,255,,27,"7,41",29
2130119,213,132,1,95,315,,27,"251,85",95
2130185,213,200,1,36,280,,27,"33,33",36
2140009,214,17,1,86,395,,27,"218,52",86
2130272,213,299,1,32,305,,30,"6,67",32
1300137,130,156,1,,250,не удалось найти ни одного рейса,30,"-100,00",0
2140017,214,26,1,108,335,,32,"237,50",108
3140069,314,86,1,,445,не удалось найти ни одного рейса,35,"-100,00",0
2140069,214,84,1,159,395, min Kiwi- 131 eur,37,"329,73",131
3140067,314,84,1,136,585, min Kiwi- 108 eur,37,"267,57",108
890037,89,48,1,"80,36",135, min Omio- 48 eur,39,"106,05",48
1510183,151,250,1,"34,85",400,,40,"-12,88",35
3140006,314,13,1,"102,21",595,,41,"149,29",102
2140019,214,28,1,"187,32",575,,41,"356,88",187
1910162,191,194,1,"219,46",250,,45,"387,69",219
3640003,364,10,1,,1230,не удалось найти ни одного рейса,46,"-100,00",0
3140013,314,22,1,"152,82",465,,55,"177,85",153
940066,94,80,1,"56,64",180,,55,"2,98",57
940018,94,27,1,"54,75",130,,60,"-8,75",55
560015,56,25,1,271,420,,64,"323,44",271
770067,77,83,1,"165,41",230, min Kiwi- 102 eur,71,"132,97",102
930066,93,77,1,"87,03",240,,82,"6,13",87
550083,55,98,1,"63,4",150,,82,"-22,68",63
3140011,314,20,1,"162,64",820,,82,"98,34",163
690006,69,15,1,"76,12",250,,87,"-12,51",76
5520069,552,81,1,"104,81",330,,92,"13,92",105
5530051,553,71,1,255,955,,92,"177,17",255
400027,40,36,1,"100,23",348,,101,"-0,76",100
3390077,339,94,1,417,695,,107,"289,72",417
3090012,309,21,1,"410,18",565,,110,"272,89",410
5530067,553,89,1,"442,06",930, min Kiwi- 417 eur,113,"291,20",417
720054,72,70,1,"111,51",180,,113,"-1,32",112
560086,56,99,1,"210,56",410, min Kiwi- 188 eur,117,"79,97",188
