path_id,from_id,to_id,transport_id,Rome2Rio_price_min_EUR,duration_min,Comments,Cheaptrip_price_min_EUR,price diff %,price_to_fix
1910296,191,358,1,"10,32",60, min Kiwi- 7 eur,4,"158,00",7
2520201,252,205,1,"9,99",115,,7,"42,71",10
2840236,284,321,1,9,90,,7,"28,57",9
3290197,329,242,1,"9,53",80,,8,"19,13",10
2130142,213,159,1,10,105,,8,"25,00",10
2520283,252,286,1,"12,99",65, min Kiwi- 10 eur,8,"62,38",10
2250158,225,162,1,"10,96",75,,8,"37,00",11
2140119,214,127,1,12,105, min Kiwi- 9 eur,8,"50,00",9
2910184,291,228,1,10,160,,9,"11,11",10
3290210,329,262,1,"9,52",70,,9,"5,78",10
3480295,348,277,1,12,140,,9,"33,33",12
2140109,214,121,1,30,160, min Kiwi- 27 eur,9,"233,33",27
2250321,225,318,1,15,85,,10,"50,00",15
2250341,225,342,1,16,115, min Kiwi- 14 eur,10,"60,00",14
2140315,214,329,1,"14,54",115,,10,"45,40",15
1270248,127,345,1,10,115,,11,"-9,09",10
2250265,225,266,1,"17,22",100,,11,"56,55",17
2250178,225,180,1,"51,45",230,min Skyscanner- 15 eur,12,"328,75",15
170051,17,69,1,14,95,,12,"16,67",14
3210143,321,176,1,"16,98",120,,12,"41,50",17
2520280,252,285,1,12,100,,12,"0,00",12
1910282,191,341,1,9,95,,12,"-25,00",9
2250146,225,150,1,18,80, min Kiwi- 14 eur,12,"50,00",14
1270229,127,321,1,25,210, min Kiwi- 22 eur,12,"108,33",22
3650280,365,293,1,"36,76",120, min Kiwi- 34 eur,12,"206,33",34
2250123,225,126,1,"16,14",80,,12,"34,50",16
1910268,191,325,1,"9,64",115,,14,"-31,14",10
2130264,213,294,1,36,95, min Kiwi- 33 eur,14,"157,14",33
2250177,225,179,1,"21,52",165,min Skyscanner- 13 eur,15,"43,47",13
2250353,225,356,1,"16,92",160,,16,"5,75",17
2140093,214,108,1,"31,52",225,,17,"85,41",32
1910297,191,359,1,45,215,,17,"164,71",45
1910286,191,347,1,"47,69",220,,17,"180,53",48
5500243,550,553,1,"13,39",45,,18,"-25,61",13
2250058,225,74,1,"30,45",200,,18,"69,17",30
2250283,225,288,1,"28,2",265, min Kiwi- 25 eur,19,"48,42",25
2250203,225,210,1,"18,44",85,,19,"-2,95",18
3140022,314,31,1,"16,55",245,,19,"-12,89",17
3140279,314,340,1,30,415,,19,"57,89",30
2120118,212,171,1,29,265,,19,"52,63",29
