8,119.0,160,130001
9,82.0,200,130002
10,109.0,2015,130169,2250358,3640003
11,156.0,545,130004
12,174.0,1230,130005
15,101.0,315,130051,690006
16,529.0,1310,130053,710009
17,23.0,135,130007
18,92.0,230,130008
20,124.0,250,130051,690009
21,146.0,240,130002,90011
22,114.0,1235,130169,2250315,3140013
23,124.0,365,130008,180268,5470013
24,101.0,250,130013
25,147.0,620,130051,690018,290018
26,87.0,890,130162,2130017
27,201.0,910,130053,710019
28,96.0,1145,130163,2140019
29,83.0,340,130051,690018
30,119.0,320,130019
31,77.0,945,130162,2130022
32,55.0,135,130051,690020
33,104.0,1440,130169,2250187,1910296,3580001
34,87.0,245,130051,690022
35,60.0,275,130051,690023
36,331.0,1888,130163,2140315,3290031,400027
37,255.0,1725,130169,2250245,2490027
38,218.0,1643,130169,2250300,3050219,2770029
39,255.0,1605,130163,2140315,3290031,400031
40,230.0,1540,130163,2140315,3290031
41,221.0,1320,130163,2140315,3290032
42,201.0,1265,130163,2140033
43,185.0,560,130051,690031
44,41.0,150,130051,690032
45,73.0,220,130051,690032,440036
48,229.0,1015,130053,710038
50,250.0,905,130053,710039
51,265.0,1390,130043,610074,890042
53,222.0,1015,130243,3390077,940040
55,124.0,345,130039
56,95.0,160,130040
57,95.0,215,130041
58,96.0,960,130162,2130041
60,283.0,1205,130043,610044
61,148.0,965,130043
62,265.0,2545,130169,2250187,1910296,3580004
63,223.0,1320,130169,2250177,1790048
64,338.0,1845,130169,2250247,2520201,2050049
65,326.0,1565,130243,3390048
66,105.0,225,130073,910052
67,168.0,475,130049
68,171.0,850,130050
69,14.0,65,130051
70,388.0,1290,130049,670052
71,151.0,645,130053
72,293.0,1710,130273,5530052
73,275.0,1115,130051,690268,6260060
74,69.0,855,130169,2250058
75,150.0,530,130057
76,199.0,670,130057,750059
77,172.0,420,130074,930066
78,91.0,850,130162,2130060
79,162.0,600,130057,750062
80,216.0,1115,130243,3390077,940066
81,188.0,1050,130243,3390077,940067
82,229.0,1090,130043,610065
83,192.0,915,130050,680064
84,92.0,965,130163,2140069
85,215.0,1200,130043,610069
86,92.0,980,130163,2140071
87,137.0,645,130069
88,182.0,605,130070
89,215.0,1320,130043,610074
90,183.0,895,130243,3390073
91,79.0,145,130073
92,270.0,955,130040,560076
93,90.0,180,130074
94,161.0,935,130243,3390077
95,95.0,230,130007,170077
96,182.0,985,130243,3390077,940081
97,201.0,1015,130069,870080
98,179.0,485,130008,180268,5470079
99,174.0,570,130081
100,187.0,1030,130162,2130085,1050084
101,72.0,880,130162,2130081
103,74.0,890,130162,2130082
104,77.0,660,130162,2130083
105,77.0,855,130162,2130085
106,85.0,1045,130254,3530089
107,73.0,870,130162,2130088
108,72.0,795,130163,2140093
109,76.0,785,130169,2250096
111,80.0,825,130169,2250158,1620093
112,84.0,1020,130163,2140099
113,78.0,320,130243,3390092
114,93.0,1040,130217,3030132,1520094
115,84.0,750,130163,2140102
116,65.0,840,130254,3530100
117,87.0,1010,130254,3530101
